SMILES,des_gap,pred_gap,Err_pred_des
N=C1C=CC=CC=CC=CNSCSC1,2.2841,2.2831516,0.00041520660789193
CCCN1CC[PH](=O)CC(CC)C1,6.4899,6.477333,0.00193638286450382
C=C1CCC=C=C(C)C(OO)CO1,5.7319,5.749787,0.00312058022475667
S=C1C=CC=CN=CN=NN=CC=C1CS,2.4548,2.4449055,0.0040306666590054
C=C(CCC)SC(C)OCNCO,6.2307,6.263313,0.00523421391173919
CC(C)CN=CC1CCCCCCO1,6.4431,6.4024796,0.00630447322095146
CN1CC(C2=C=CN=CC=C3C=CC=CC(=C2)C=C3)C1,3.4629,3.439266,0.00682492523162511
CCC1C=CCC(CCCC=O)C2C(C)C(O)C12,4.715,4.749574,0.00733280687544533
CON[PH]([PH](=O)CO)=[SH](=O)S,4.0953,4.06036,0.00853174252582608
CCN1CC2CC(=COOO)C3=CN(C2)C3(C)C1,4.9632,4.9207172,0.00855955041507834
C=C(C)CCC(C=CCC)CCCC,6.4392,6.379065,0.00933888731928158
C=CC12C=CCCCCCOC1=C2,5.7865,5.730335,0.00970617202182616
CCC1CNC(CN)C2(CC2N)N=C1N,6.4073,6.337975,0.0108196861116224
CCC1=CCC(CNNCCSCN)O1,6.4025,6.330838,0.0111927835329674
NSCC=CS1=CC=CC=C1SCC#[SH],2.4193,2.4464207,0.0112101308459737
NSCC=CS1=CC=CC=C1SCC#[SH],2.4193,2.4464207,0.0112101308459737
C=CC(O)C1CSCCS1,5.5907,5.524375,0.0118634586271795
CCCC12C=CC1=CCC(C)C2,5.5805,5.5060124,0.0133478290963563
CC1CCC(=O)CCC(O)CC1,6.8533,6.758277,0.0138653000172049
C=C=CC1=COCC(=O)CCOCC1,4.6275,4.6939507,0.0143599466399074
CC1C=CCCCC2CC=C1N(C)C2,5.4242,5.5076017,0.0153758596615306
CC1CCCN(CCCC=O)C1,6.7741,6.8825808,0.0160140472005305
C=CCCNC=CCSC(=C)NC=NO,4.1707,4.2423334,0.0171753931403386
C=C1CCCC(C)=CC(C)=CN=C1CCC,3.9333,3.8608656,0.0184156832795508
CCC(C)CCC=C(O)C(C)=N,5.413,5.5177693,0.0193551333272565
O=C(O)C1C(=O)CCC=C1CO,5.4894,5.382221,0.0195246799424658
CC(O)CC(C)CC=CNC(N)=O,5.5878,5.4762325,0.0199662606595576
CC1=CNCCCOC(CO)CN=S([N]O)O1,3.9638,3.8823528,0.0205477498916464
COC1C(=O)CC(O)CCC1C,6.348,6.4788666,0.0206154028274161
CCCC1C=C(COC)CCCCNO1,6.4459,6.582933,0.0212589318894432
C=C(C)CCOC1CCCNNCCCOC1,6.4431,6.5800953,0.0212623257651899
CC(=CCC=CON)CCC(C)C,5.7146,5.8407187,0.0220695667562564
C=C(C)C(C)=C1CCCC1CCC,5.7058,5.8435388,0.0241401312942823
CC(=O)C(C)CCC(C)=CCN,5.6303,5.4888535,0.0251223816510943
CCCC(CN)N(CNCC=CC=O)COC(N)COCOC,5.1942,5.325021,0.0251859362558425
COCC=C1C=C1CC1C=CC(=N)CS1,4.1546,4.0488567,0.0254520928056872
CCCCCCCCCC=CC(O)COOC,6.857,7.040553,0.0267687170711015
O=C1C=CN2C=CC=CC2=CN=CC=CS1,2.4169,2.3515332,0.027045730268207
CSC1=CC=CC=CC=C1SCSC=N,2.6386,2.7124429,0.0279856268128733
CC=CC1=CCC(CCC)C1C,6.1079,6.278969,0.0280077949925762
CCCCOCOCC(C)C=CCCOO,6.4431,6.6278996,0.028681790870704
CC1=CC=CC2(CNC2=O)N(C)C1,5.1695,5.318562,0.0288349029484933
CC(C)C1=CNC=CC=C2C=CC=C2N2C=CCNN=C12,2.562,2.486954,0.0292919696447534
OCCCOC1CCC1Cn1cccc1,6.2589,6.45717,0.0316780919351703
O=C1C=CN2C=C=C=CCC2CC1,3.9289,3.80298,0.032049696826981
CC1=C2CC=C=CNC=CC(=C=C1)C2,3.9638,3.8314517,0.0333892591870922
O=C1C=CCC(CNOO)CC=CCO1,4.801,4.9635363,0.0338546683008138
CC(S)CC1(C)C=CC2SCC21,4.8066,4.970793,0.0341598573598264
CCCCCCCC=CC1=CCCC=C1,4.71,4.5460377,0.0348115341931645
CC1[SH](NNC(S)C=O)C1(O)C=CC=O,4.4419,4.59717,0.0349557342800676
C=C(O)CCN(C)N(O)C(=C)C,6.412,6.6403437,0.0356119254642327
C=CCCN(C=O)C1CN(C=O)C1,5.7555,5.961435,0.0357805301287475
CCC1CCC=CC2=C(C=C2)N1C,4.5978,4.762956,0.0359206886827476
C=CCC(C)C(CC)C(=C)CC,5.8353,6.053235,0.0373477034627377
CCCC1[N]C2N=C[C](N)N12,5.0815,4.8905087,0.0375856239824071
CC=CCCC(CC)CC(O)=NCC,6.6075,6.359043,0.0376022517838985
CCCCC(=O)CCSCCCCC(C)C,6.2307,5.990395,0.0385678865741707
C=C1OC=CC=CC=CC(COC)=C1C,3.7507,3.8986917,0.0394570758006031
COc1ccccccccc(=O)c1,4.0284,4.188641,0.0397778451294756
NCCC1=C2CNC(=O)OCCC1C2,5.3749,5.592407,0.0404672136342071
N=C1C=CC=CC2(CC2)NC=C1,3.4629,3.3220239,0.0406815476736865
C=C1C=CC=CC=CNCCCCNN1,3.6689,3.8241105,0.0423043713279425
