SMILES,des_gap,pred_gap,Err_pred_des
CCCCC1=C2C=C2CCCCC=C1,5.4242,4.8359857,0.108442597884853
CCCCOC1=CC=CC(C=N)CO1,6.2484,5.569271,0.108688450219819
CCC(C)CC(CCNCCCCNC)OC=O,6.4042,7.108384,0.109956611658795
O=CC1C(=O)OC(CCO)C=C1CO,5.052,5.607836,0.110022915608337
CC=C1CC(C=O)CC1OO,6.445,5.735015,0.110160602720511
C=C1CCCCCC(C)CCCCC1C,6.7741,7.524616,0.110791952380083
C=CS(CC)(CCOC)C(CC)CC,5.7006,6.335146,0.111312133866151
CC(=CC(O)CCO)CC1CC1,6.401,7.1218905,0.112621550522006
C1CCCNN2CCCC2CCC1,6.4274,7.1527076,0.112846186133072
CC(N)C1=CC=C(C(=O)OO)C(C)C1,4.7387,4.2028313,0.113083489499114
CCC1=CCCC(C)C2CC1=CC=CC2CC=O,5.1979,4.607436,0.113596610147416
CCCOCCC(=N)OC1=C(O)C(OC)C1N,5.3647,5.975795,0.113910338355415
CCC(=O)C1SCC1C=CC#N,5.4192,4.798812,0.114479644128908
C#CC1NCCC(CC(C)CC2CCNC2)C1N,6.2292,6.943899,0.114733698494684
CC1=CC2=CC=CC=Cc3coc(=O)cc3C2=C1,3.0936,2.733224,0.116490847200641
CC1CCCCC2=CSC=CNSN21,4.0953,4.572816,0.116600955993594
O=C1CCCNCCC2CCN1C2,6.1079,6.82836,0.11795544798032
C=CCCOCCC(C=O)COC1=CCC1,5.4904,6.1464615,0.119492475378188
CCCCNP(CSS)C(=O)O,6.2307,5.4842,0.119809973074785
CCC(CCCOC=O)C1C=C(C(C=O)CO)C1,5.3749,4.7302556,0.119936072524087
CC1CCC(N2NC2=O)CNC(CCN)C(=O)C1,5.4133,6.068698,0.121071791584121
COC1=C(O)C23C=C2C=CCCC(O)C13O,4.2624,3.744156,0.121585049786725
CC=CC(COC)CC(C)CCC,6.4073,7.2016625,0.123977734839291
OC[SH]=CC1C=C(C=CC=S)C1,2.6276,2.9540524,0.124239780892337
CC(CCC#CCN)COOO,6.4093,7.2072554,0.124499612042556
CCNC(CC(C)=O)[PH](=O)O,5.7058,6.4184723,0.124903131907719
CN1C[N]SC=C1SNNCO,4.3657,3.8136687,0.126447367461173
CC(O)C(=C=O)C1CCCC(NNPC(O)OOO)CC1,5.7151,6.4402695,0.126886575950525
C=CN(C)C[SH](COC)C1C=CC=C1,4.695,4.098742,0.126998507303679
CCC1=C=CN=C(C(CCCC(C)N)COO)C1,5.052,4.406426,0.127785836715879
