SMILES,des_gap,pred_gap,Err_pred_des
NNC1=C[C]2C=CC=CC=C2N=N1,2.0956,2.448596,0.168446268692206
CCC(CO)CCSCCN=C(O)CO,5.834,6.818285,0.168715287693404
COC1=NC=c2c(=N)ccsc2=CC=C1,3.0604,2.542329,0.169282096146821
CC1CCNN2C=C2C1C1=CS1,3.7939,4.437434,0.169623394520722
C=NCONNC(N)=C1ONNC1C,5.1454,6.019447,0.169869563070509
C=COCC=CCC(O)(CCC)COCC,5.6249,6.5818853,0.170133751325284
CCCOC(C)C(C)CCPNNC,6.444,7.5420923,0.170405388470395
[c]1c2cccc1-c1ccccc1C=N2,2.7479,3.220069,0.171829008180643
C1=CC=CC=CC=CCCCC=CC=CC=C1,4.1659,3.44707,0.172550977376663
N=C1C=CC=C2C=CC=CC=S2S1,2.0091,2.3568928,0.173108767195746
COC(CO)CCCCCNCN(O)O,6.4384,7.553704,0.173226855265691
C=C(C)N(CCOC)c1ccccc1,5.0633,5.9406047,0.173267372412668
CCC[SH](C(C)=O)C(C)CSCS,5.4082,4.458621,0.175581334809096
C#CC(CCCC)C(=O)[SH](C)C#C,5.7151,6.7226667,0.176299056957443
C=C1C=c2ccc3ccc-3sc2=C1,2.9464,2.42344,0.177491182611586
C=C1C=c2ccc3ccc-3sc2=C1,2.9464,2.42344,0.177491182611586
CSCC(OO)C1C2=CC1=NCC2,5.6164,4.600044,0.180962222482173
O=C1CCC(O)C=C2OC2CNCN1,4.122,4.877204,0.183212989166719
CCSCc1ccc(CC)ccscc1C,4.0326,4.7749934,0.184097956565793
COCC1=COC=CC=COC(OC)C1C,5.6068,4.571769,0.184602761375774
O=CC1C=CC=CC=NC=CC=CN=CC=C1,3.0604,2.4943101,0.184972506662612
O=CC1C=CC=CC=NC=CC=CN=CC=C1,3.0604,2.4943101,0.184972506662612
CC1=COOCCC(C)CC(C)CC=C1N,5.0633,4.1241446,0.185482875962676
CC(NN(S)S(=S)N=CO)C1C=CC1,2.9883,3.5430837,0.185651931785673
N#CCCCC(O)CC(O)=S(O)OO,6.4025,5.2123346,0.185890725049038
CC(C)C(C)CN1CCN1CO,6.4916,7.70388,0.18674592291907
C=C1C=C2SC=CC=CC2=CC=CN=CS1,2.8674,2.3311021,0.187032805748329
O=C1CCCCOCC2CCCC1CO2,5.7038,6.7767315,0.188108189468226
CCCOC1=CCC(C)=NCSN=C1,5.92,4.7982917,0.189477756216719
SC=CC1=c2[nH]sc2=CC=CC=CC=CC=CSC=C1,1.776,2.1174276,0.192245263237137
CCCC(C=C(C)C)CC(C)CO,5.7361,6.8502407,0.194233138787235
C=CC(N)OOCCC=CCCO,6.9694,5.5938663,0.197367585693661
CC1CCOC1=C1CC=C1N,5.7808,4.635761,0.198076255163789
CCCCC1=C2CC(OC)=CC=CC=C12,5.3695,4.3023996,0.198733655775223
CCC1C(OC)N2CCCCC3(CC3)C12,6.7685,8.114055,0.198796584157584
C1=CC=c2c3cccc2=CC=CC3=C1,2.8351,2.2710605,0.198948726053276
CCOC(C)=CCS[SH](C)C(C)=O,5.0798,4.069078,0.198968863223471
C=C1C=CC(C#N)=CC=C=C=CC=NN1,1.8695,2.2419078,0.199201837393268
CC(C)C1=CC=C(NOC=NCC=N)CCC(O)C1,5.767,4.618086,0.1992221499556
C=CC=CC1=C(C)CC1OO,5.9179,4.734585,0.199955252986767
C=C(C)CC(C)CCCCN,5.7808,6.948517,0.201999177571119
O=CC1=C(C2=NC=C2)SC=CC=C1,2.7291,2.1774123,0.202150059909995
CCNC1CC=NN(C)C=CC(N)=N1,5.6249,4.4831486,0.202981639703977
CCC(=CC=CCCOC)CCCOOC,6.3474,5.0542474,0.20372949880219
CC(CNN)OC1OC1N,6.9691,8.400677,0.205417733609063
CC1=CCCCCCCCc2ccccc2C=C1C,5.4437,4.3222966,0.206000216871745
CCNC(CO)CCCCCCCC(C)OO,6.4328,7.759709,0.206272366835309
CCCCCC(NCC)C(C)CNNO,5.413,6.542676,0.208696835762953
C=CCNCC(=O)C=CNSCCN,5.6556,4.4727664,0.209143786798298
C#CCCC(CCCCC=O)OC(C)O,6.2433,7.550661,0.209402253141149
NC1=COOCOC(OCC=O)N1O,5.0657,6.1326213,0.210616753518677
C=C(C)CCC1CC1CC(C)C,6.3447,7.686619,0.211502325552294
C=C(CC)C(CC)OOC,5.7006,6.917115,0.213401258023158
CCCCCCCCOC1(C)C=CC1,5.624,6.8419237,0.216558270569716
CC1CCCCCCC(CN)CC1C,6.7387,8.212471,0.218702569976521
