SMILES,des_gap,pred_gap,Err_pred_des
CC1CC(NON)CC(C=O)NC1OCCNN,5.838,7.117768,0.219213396851924
CCOCCOCCC1=C(COO)C1,5.6196,6.8640027,0.221439729628508
CCC(C)CN(C)N=CCC=O,6.4392,5.0040417,0.222878358840705
C=CCCC(C)=C(O)CO,5.0735,6.21289,0.224576751387177
CCOC1(COCC(C)CC)CCC1,6.9711,8.55145,0.226700201646197
CN1N=CCCCc2c1coc2S,5.0178,3.8789542,0.226961183758938
C1=CCCNCC=CC2=CC(=C1)NC2,5.5805,4.313529,0.227035388479992
COc1=c-o-c2ccc-2-c=c-c=n-c2cc-1n2,2.8891,2.2299771,0.228141244370256
C1=CC=NC=C2C=CC=C2C=CC=NCN[N]C=C1,1.9995,2.4556696,0.228141856211428
CCC1C=CC=CC=C(C)CC(O)C1,5.0763,3.9061685,0.230508744391398
CC1=CNCC(C)C(NON)=CC=C1,5.7808,4.442751,0.231464342169573
C=C(CCC)CCCC(CC(O)O)CC(C)CC,6.4916,8.013549,0.234448957269885
CCCC(COC)OC(C)CCO,6.8533,8.471585,0.236132268212784
O=C[C]1CC2=C=CC=CC=C2C=C2C=CC2=N1,1.8495,2.2905443,0.238466759377733
NC1=NN2C=CC=CC2=CSC=CNCC1=O,3.2776,2.4800718,0.243326890692642
N=C=[SH]C1=c2ccccccoc2=C=C1,2.8447,2.1524634,0.243342554179102
NCCNCC1N=C2C=CC=CC=C21,5.1907,3.924266,0.243981332011133
O=CCSc1nnccc1-c1ccns1,5.4369,4.071106,0.251208233178604
CCC(C)=C=C1CCC(=O)SCCC1C,6.3056,4.7211547,0.251275899234202
NCCc1cccc2c([nH][nH]c1=O)=CC=CC=CC=2,1.9026,2.3813925,0.251651676097378
COC1(C)CCC(C)C(C(C)SC)CC1,5.6419,7.068973,0.252941928148781
CCCCCC1NC1OC1CC1C,6.8537,8.589087,0.253204332344978
N=NCC1=C=CC=CC=CC1=N,1.962,2.4605603,0.254108217027452
O=c1cccc([SH](=O)=S)cn1,3.157,2.3537538,0.25443338449144
CCCCCC=C(C)COCCCC(CO)C(C)CC,5.767,7.2411265,0.255614103922836
COC=C(CCO)CC(C)CCCCO,5.4369,6.8318305,0.256567253684342
COCCN(O)NC(C)C(C)CC(C)OCN=O,5.6164,7.057551,0.25659691388345
COC(=O)C=COCCC=O,6.348,4.709544,0.258105831470742
C=CN1C(OC)=NC1=S=[SH]C,1.8268,2.301035,0.259598712156867
C#CCSCC(C)(OCOC)C(C)C,5.6196,7.0807695,0.260013086141255
CC1(C)C=C(C=S)C(S)=CS1,3.0998,2.2916603,0.26070704276473
CCCCN1CC=C(CN)OC1C,5.3715,6.7854524,0.263232312366237
C1=NCN2COCCCCCC(C2)NN1,5.0783,6.453611,0.270821120663255
O=C1CCC[C]CCCCCCCCOOC1,6.4392,4.6777153,0.273556450876868
COC1CCC(C)C(C)=CCNCCO1,5.6303,7.1751204,0.274376206187722
CSNC1=CC=CC2=CC=CN=NSS[SH]21,2.5944,1.8802221,0.275276718263158
CC1CCCC2CCCCC2CCC2CC1CC2=O,5.4947,7.0207696,0.277734834677026
CSCN(C)CC[SH](C)[PH](=O)CSC,6.4025,4.6121035,0.279640224565523
CCC1CC2NC2OC(C)(C(CC)CC)C1C,6.2589,8.011816,0.280067747492415
Cn1cnccc2ccssc=2c1=S,2.8538,2.0526063,0.280746252637528
CC(S)=C1C=CCCCC1C,6.2591,4.498198,0.2813346915085
CNC1=CCNNC=CC=CCN(C)N=C1,5.3716,3.856814,0.281999049143032
O=C=C=C1CC12CC=CCC=N2,5.3047,3.8063686,0.282453562048515
NN1C=CC=CN=C2N=CC=NN2C=C1,3.2377,2.3228714,0.282555071004263
NC1C=CC=CC=NC2=NC=C2C=C=NN1,1.842,2.3650734,0.283970381356735
CC1CNCCCC2CCCCCCC12,6.3979,8.216656,0.284273860360614
CC1=C(C(N)N)C(C)CCC(C)CC(C)CC1,5.4535,7.009725,0.285362628374723
CCC1CCCOCOOC1C1CONN1,5.4242,6.9730606,0.285546367742737
CC(=N)CCC1=CC=NC=CC1(C)CCO,5.6244,4.011689,0.286734729731848
C=CC=C(C)POC[PH](=O)CC=C,5.6325,4.0163097,0.286940126380971
CCC1CNCCCCC(C)CCC1C,5.8367,7.514331,0.287427975388942
O=C1C=CN=CC=C(O)N=NN=NC=C1,3.1127,2.2095418,0.290152665647849
CC=CCCCCCCCOC(CCC)CCO,5.3713,6.933063,0.290760715328304
OOc1cc2cccccccccnc1-2,3.469,2.4472406,0.294540042937678
CC1=CCCCNC(C)CSCC1=S,5.7872,4.079917,0.295010202854485
CC1C=CC=CN(C=O)CC2=C=CC2C(=O)C1,5.1781,3.6481125,0.295472753427573
C#CCCCCOC(C)(O)C(C)O,6.2276,8.080452,0.29752263557904
C=CCCC(=N)C(O)CCC1=CC=C1,5.3689,3.7702098,0.2977686696947
CC1N(CC(C)(C)C)CCC1(N)N,5.4133,7.0262737,0.297964961745514
CCNCC1=CSC=Cc2c[nH]cccccc21,3.4962,2.4499366,0.299257299827906
