SMILES,des_gap,pred_gap,Err_pred_des,AE
CCCOCCCCOCCCCCCOOCC,8.5509,8.125527,0.0497459469883904,0.425373
CCCC1CC1CCC1CCCCCCO1,6.8723,8.97826,0.306441808460516,2.10596
CC1CCCC(C(C)C)CCC1,10.1204,9.773867,0.0342410721471105,0.346533000000001
CC1CC(CCO)CCCCCC1N,9.3621,8.259673,0.117754230504768,1.102427
CCCC(NCNCCC(C)C)NOC,7.6994,6.6398454,0.137615220504671,1.0595546
CCCC(C)CC(C)CC(C)C(C)(CC)CCC,10.1204,9.477817,0.063493875565583,0.642583
CCCCNC(CCC)C1(C)CC1O,9.4485,7.7416897,0.180643522039812,1.7068103
CCCCOCC1CC1C=CCOC,6.4569,7.5502625,0.16933241201999,1.0933625
CC(O)CC1CCCCC1CCCCO,8.6753,8.632947,0.0048820250505903,0.0423530000000003
Cc1c#c(OC(C)(C)O)ccc1,7.5303,5.7184873,0.240602995534596,1.8118127
CCOC1CCCCC(C)OCCCCC(COO)C1,8.7262,8.4970045,0.0262652117792203,0.229195500000001
CC(C)C(C)C(O)C1CC1O,8.7308,8.150195,0.0665007649052622,0.580605
CCCCCC1CCCCC(C)CCC1,9.7484,9.196356,0.0566292089263727,0.552044
CC1CCC2=CC23C=CC3C2C=C2CCCC1=O,6.9819,4.0193777,0.42431462661524,2.9625223
C#CC1=CC(CCCCCCC)C1CCC,8.7543,6.3768234,0.271578147276999,2.3774766
CCCCCC(CC(C)O)C(C)O,8.1085,8.737939,0.0776270433397559,0.629439000000001
CCC(C)OC(CC(C)C)NOC,8.8933,7.690794,0.135214825645276,1.202506
CCCOCCCCCC(C)C1CCCO1,9.8094,8.975982,0.0849611890287573,0.833418
CCC(CO)CC(C)CCCCOC,8.5481,8.690824,0.0166965237880554,0.142723999999999
CCC1=CC=CC=CSC=C=CC=C1,4.5639,3.530383,0.226454762364121,1.033517
CC1OC1N(C(C)C)C(C)C,9.4485,8.361875,0.115005071663936,1.086625
CCCC(CCC)OCCC(C)CC,10.5955,9.074103,0.143588942908998,1.521397
COCC(CN)CC1C=CCC(C)C(C)CC1,8.0578,6.8682218,0.147630648589424,1.1895782
CCCCC1CCNCNCC(OC)CC1,8.9736,7.441135,0.170774836224371,1.532465
CCCCCOCCC1COCC1C,10.0143,8.457792,0.15542850902165,1.556508
CCCC1CCC1(CC)C(C)(CC)C(C)CNCC,6.7077,8.570133,0.27765600865103,1.862433
CCCCCCCNC(C)CCC(C)CC,9.5886,7.6535616,0.201806145620627,1.9350384
CCCCCC(CC)C(CC)(CO)OC,7.8315,8.833109,0.127894899058614,1.001609
CCCCCCCCC1C(C)CCCC1C,10.1204,9.89659,0.0221147155399865,0.22381
CCCCCCCCC=C(CCC)OO,8.5509,6.6173973,0.226116863914955,1.9335027
CCC1CCCCCC(CCCCCC(C)C)CC1,10.1801,9.851489,0.0322797352602001,0.328610999999999
CCOC(=O)C(CCOCC(C)C)OC,8.7262,7.48001,0.142810154173202,1.24619
CCOC(=O)C=CC(C)C(=O)O,5.6595,5.3789883,0.049564755545329,0.280511700000001
