SMILES,des_gap,pred_gap,Err_pred_des,AE
CCC1=CC=CC=CC=CCCC=CC=CC=C1,4.7191,2.885745,0.388496736978884,1.833355
C.CCCCCC(C)(CCOCC)COC,7.3339,8.3426,0.137539354064606,1.0087
CCC(OCCCC(C)C)OOCC(C)C,8.5481,8.452286,0.0112088339395231,0.095813999999999
CCC(C)CCCONC(C)(C)CC,9.7484,8.059576,0.173241143721442,1.688824
N=C1CCN[CH]C2CCC=CC12,3.534,3.2756383,0.0731074301347802,0.2583617
CCC[SH](CC1CC(OC)O1)OC,10.0381,5.9653764,0.405726544156194,4.0727236
CCCC(C)OCN(C)C(C)CC,10.4223,8.078756,0.224858588565148,2.343544
C=C=C([N]CCNC)P(C)COO,2.4744,4.8700347,0.968167917342237,2.3956347
CCCC1C=CC(C)=C2CCCCC(CC1)C2,5.9487,5.9525023,0.0006391733776097,0.00380230000000026
CC(C)CCCOC(COO)C(C)O,10.4978,8.515746,0.188806595987904,1.982054
C=C(C)C(O)CCCCCC=CC,6.8553,6.363382,0.0717573464851456,0.491918
CC1CCC#CCC(PCCO)O1,9.9664,7.946836,0.202637261727358,2.019564
C=C(CC)CC(CCOO)C(O)CC,9.4969,6.6247587,0.302429348482352,2.8721413
CC1CC1C[SH]1CC(NCCO)S1,4.9066,5.280274,0.0761574031584311,0.373674
C=C1CCCCC(C)C(C)(C(O)CO)CC1C,7.0605,7.8549953,0.11252676874186,0.794495299999999
CCCC(CCOC)CCOC1CCCC1,10.5162,8.63677,0.178717573989361,1.87943
CCC1CC(C)N1CC(CO)CCCCCO,8.905,7.9052305,0.112270575838769,0.999769499999999
CCC1C(C(=O)ONC)CCOC2CC21O,7.9523,6.979764,0.122296192965535,0.972536
C.CCCCCCC1CCCCCCCC1,8.7115,8.748185,0.0042111183809768,0.0366850000000003
COC(CO)C(C)C(C)C,9.1816,8.701631,0.0522751380645866,0.479968999999999
CCCCCNC(CCC(C)C)NNNO,8.7128,6.6042385,0.24200733287441,2.1085615
COCCC1CC2CC(C)C(C)(C1)C2,8.6117,8.292585,0.0370559386735715,0.319115
CONC(C(C)O)C(N)COC(C)C(C)C,8.8021,7.817788,0.111826936289695,0.984311999999999
CCC1CCNC2(C=O)C1C2(C)C,6.2214,6.3619046,0.0225840841489484,0.1405046
C=C=CCC1=CC=CC(CN)=CC(NC)C1,5.7609,3.2681413,0.432703003057884,2.4927587
CC(CCCCO)COC(=O)N(C)C,8.2862,7.6672335,0.0746984785423896,0.618966499999999
CCCCCC(C)CCCCCC(C)CC,9.8374,9.966385,0.0131116847637904,0.128985
CC(C)CCCCCCCCCC(C)CO,10.3445,9.094591,0.120828349292177,1.249909
Cc1ccccnccccncccc[nH]n1,3.9241,3.9918382,0.0172621025920889,0.0677382
CC#CC#CCC1(C)NC1C,7.4574,6.8173795,0.0858235477995155,0.640020499999999
CCC(COOO)CC(C)C1CCC(C)C(C)(C)CC1,9.7408,8.572608,0.119927727283222,1.168192
CCSCCC(O)(ON)C(C)C,10.2752,7.8954954,0.231596911521539,2.3797046
CC1CCCCCCC(C)(C)CCN1,6.8479,7.7893834,0.137484982462868,0.9414834
C=C1NCCCCCCCC1O,6.9779,7.0677733,0.012879711966719,0.0898732999999998
CCCC(C)CCCCCCCCOCO,10.5547,9.023464,0.145076202745615,1.531236
OCCNSC1CC=CC=CNCC1,5.3401,5.076118,0.0494339071550863,0.263981999999999
Oc1ncc2c(cccnc[nH]o1)C=C2,2.7697,3.521774,0.271536286808538,0.752074
CC1CC(CCCC(=N)O)C1O,5.1489,7.4028974,0.437762892645162,2.2539974
CCC(=O)OC(CO)C(C)C,8.7262,7.098004,0.186587075211624,1.628196
CCCCCCOC1CC(CCCCC)C1,7.6569,9.033663,0.179806814248653,1.376763
