,SMILES,pred_gap
0,C1=CC=CS2=NC=CNC=CC=CC=C2C=C1,1.8242645
1,C=NC1=c2cc3cc-3ncccc2=C1,1.7219322
2,C=C1SC=c2ccccc2=C2SSC1=C2N,1.98592
3,C=Cc1c2c(ccccc3nc-3c1=N)C=C2,1.9973196
4,O=c1cccnc2c1C1=CC=CC=CC2=C1,1.8714306
5,SCC1C=[SH]C2=C1C=CC=CC=C=C=C2,1.960771
6,O=C=c1[nH]cc2c(c3ccc1-3)=CC=CC=CC=C2,1.9258187
7,S=C1C=CN=CC=NC=CC=NSC=CSC1,1.9408448
8,NC1=C2C=CC=CC=CC=CN=CC2=C[Sc]1,1.9870679
9,NC1=CC=CC=C2C=CS(=S)C2=N1,1.601613
10,[NH]c1c(O)cc2ncc-2ccc1CCN=NCC=N,1.9765044
11,O=c1c2c(ccccccc3c1=NC=N3)C=CC=2,1.959581
12,S=c1ccnc2cc1[SH]=CS[SH]2S,1.8137577
13,Nc1ccccc2cc3cccc-3cccc-2nc1,1.8554384
14,CSCC(=S)C1=C=CC=C=C1SS,1.8873018
15,O=C1C=C2C=CC=CC=CN=CC=C12,1.9111534
16,O=c1cnc2c(c3c1=CC=CSC=CS3)N=2,1.7497624
17,N=[SH]12C=C1C=CC=CC2=S,1.7106663
18,SSC1=NC2=CC2=CC=CN=CS1,1.9459034
19,O=c1ccc2c3c(c1=CC(O)=CC=NC=C2)=C3,1.9350992
20,C=C=Cc1cc2c(cc3cccc1-3)C=C2,1.996379
21,S=C1[C]=CN=CC=CC=CN=CC=C1,1.8820823
22,C1=CC=c2ccncc2=CNC=NC2=CC=CC2=N[SH]=1,1.8267349
23,CONC1=CC=CC=C2C1=CC=NN=C2[O],1.8728747
24,N[SH]=C1C=CC=CC(=O)[SH]=N1,1.9307233
25,CC=Cc1=c2c3cc(cc2-3)=c-c=c-c=c-c=c-1,1.8237537
26,O=C1C=CC2=CC=NC=CC=CC1=CS2,1.9860336
27,O=C1N=CC=C2C=CC=c3cccnc3=CC=C1C2=O,1.8430338
28,S=c1ccc2c(cc1)=CC=CSC=C=2,1.9850667
29,CC1C=CC2=CC=NN=NC=CC=CC2=C1,1.9772242
30,SCN1C=CN=C2C=CC=CN=NN=CC=C21,1.9673567
31,[C]=CC=C[C]CCC(C)=O,1.8578513
32,[C]SC1=CC=CC=C2C=CC=CC=C21,1.9533328
33,S=C1N=CC=CC=CC=CN=C2C=CC=C2O1,1.8568316
34,O=c1c2cc(c3cccccc1-3)C=N2,1.8631586
35,[NH][S]1C=CC=Cc2nccn2C=CC=CC1=N,1.8886628
36,SC1=CC=CSC=CNN=CC=CC=CC=CS1,1.9929874
37,C=c1c2cccc-2c[nH]c1=C=CCCC=N,1.9794443
38,C=C1CC=CC2=CC=c3cccnc3=CN=CC=NN=CC2=N1,1.8692731
39,Nc1ccc2c(c1)=C1C=CC=CC=2[SH]=NS1,1.9331692
