,SMILES,pred_gap
0,O=C1[C]2[C]C(=S)C=C21,1.8048238
1,NC1=CC=CC=C=CSSC=CSC=CSC1=O,1.8640852
2,CSC1=CC=CC=CN=NC=CC(S)=C1,1.9718239
3,C=CC(OC)=[PH]=C1C=[SH]C1,1.9834683
4,C1=CC=CN2SN=CC=CC2=C[SH]=[SH]C=C1,1.886328
5,N=C1C=CC=NN=CN=CC=CC=CSC=N1,1.9792724
6,Cc1ccccc2c(sc1)=CCC=CC=CC=NC=2,1.9750113
7,CCC1=CC=CC=CC=CC=C=NSSS1,1.83182
8,O=C=CC1=CC=CC=CC=CC2=CS2=C1,1.9212608
9,Nc1cccc2cc(c3c(c1)=CC=CC=C=3)S2,1.889781
10,N#CC1=CC=CC=NC=NN=C2C=NC12S,1.8136079
11,Cc1=c-c=c-n=c2-n=c3-n=c-2-c=c-3-c2cc-2=c-1,1.6930214
12,O=C1N=CC2=C=CC2=CC=CC2=C3C=CC=CC132,1.8757961
13,C=c1cc2c3cccc-3nc1=CC(=O)N=CC=CC=C2,1.7732806
14,C=Nc1cc2ccc1N=CC=C2SC,1.9521871
15,NC1=CC2=NN=Cc3cccc2c3C=c2ccccc2=NO1,1.8869039
16,O=c1cc2ccc3ccccnc-3cc-2n1,1.8913859
17,N=C1C=CC=CC=CC=CN=CN=NC=CS1,1.8597374
18,O=C1C=CC=CC=CC=NN=NN=N1,1.9100777
19,C1=Cc2ccccccc3c(c2=C1)=CN3,1.9822701
20,O=CC=CC1=CC(C=O)=CNN=C1,1.8293439
21,C1=CC=C[SH]=[SH]c2ccccc2C=CC=C1,1.9712018
22,COC1=CC2=C(C2C[SH]=O)[SH]2C=NN=C2N=CC=C1,1.8755939
23,SC1=C(S)C(C#[SH])=CC=CC=CC=NC=C1,1.7193205
24,O=c1[c]c2ccccc3nc-3c1-2,1.9855855
25,N=c1cccc2c(c1)N=CC=CSC=CC=C2,1.7966318
26,NC1=CC=c2cccnc2=CN[CH]C1=O,1.9500935
27,C=CC1=C(OC)C(=S)C(O)=NC=CN[SH]=C=N1,1.9657032
28,O=C1C=CC=CC=CC2=CC=CC2=CSS1,1.9692122
29,N=c1cc(N)c(=O)cccccccc1N=CSS,1.9238818
30,S[C]1C=CC=CC=CC=C[N]C=C1,1.9934953
31,SCC1=CC=C2C=C2SC=CS1,1.6553552
32,O=C1C=CC=CC=CC2=NC=CC12S,1.9602513
33,O=c1c2c(ccccccc3c1=[SH]3)C=CC=CC=2,1.9902701
34,O=c1ncc2cc3cccccnc-3c-2n1,1.9784247
35,NC12C=S1C1=CC1=CC=C2SCC=S,1.7827144
36,NN=CC1=CC=CSC=C1N=CS,1.9772311
37,O=NCC=CCOC1=CC(=S)C=C1,1.9873157
38,CN1C=CC=NN=CN=c2ncccc2=NNS1,1.8991239
39,COC1=NC2=CC=CC1=C1SC=CS[SH]2S1,1.9064292
40,NC1=CC=CC=C2C=CN=CC=C2SCSS1,1.9047211
41,O=C1[C]=CC=CC=CC=CN=CC=C1,1.9884815
42,NC1=c2ncccc2=C2C=CC=CC=C(C=C2)CC=N1,1.9048905
43,NC1=C(C=S)C=CN=CC=CC1=S,1.706728
