,SMILES,pred_gap
0,CN1C=CC=CC=CSC2=CC=CC2=C1,2.3816078
1,ONCOC1C=CC=C=c2cccnc2=C2C=C21,2.4850464
2,CCC1C=CC2=CC=CN(C#[SH])C=CC=CC=C21,2.82736
3,C=C1C=C2C=CC=CN1C(=O)CNCONN2,2.6662033
4,C1=CC=c2sccccccccncc2=1,2.5092316
5,Cc1c2c3c(cnc1=N)C(=C2)C=CN=CC3,2.1300344
6,COC1=CC=CC(C)=CC(O)SC=C1,2.9570818
7,NC1=C(O)C=NC=CN=CC=CN=C1N=O,2.8806012
8,SC1=CC=C2NC=CC=NC=CC=C1S2,2.810307
9,CC1=C=CSC=CC=C(S)N1CS,2.7462692
10,C=C1C=CC=CC=CC2=CC=CC=CC=C12,2.2103148
11,NC1SC=CC=C1N=CNC=O,2.923245
12,CSCC1=CC=CC=CSC=CC(C)=C1F,2.5444794
13,O=C1SCCSN=C2C=CN=CC=CC=CC=C12,2.5327153
14,CC1=CC=CC=CC=C2OC=CC=C2C2=C1C2O,2.3523355
15,CC1=C2N=CN=C2C=CN(C=O)CC1C,2.8436127
16,O=c1cncncccc2ccc-2cnc1,2.5572615
17,CCC1=CC(C)=C=CC=C=COC1=O,2.8943996
18,NC12C=CC=CC=CC1=CC=CC2=O,2.3897185
19,CCC1C=CC=C2C=CC=C2C=CC=C1C1=CC1,2.9935133
20,CN=CC1=CN=CC2=NC3=C1C=CC(=C2)N3,2.7855153
21,C=CC1(C(C)O)C2=CC=CN=COC1C2,2.9781337
22,[CH]N(C)C1=CC(=NC)N=CC=CC=C1,2.8015177
23,NCc1ccc2cccc3cccc(F)c3c1-2,2.9975584
24,CC1=N[SH]2N=CC(=O)NNC2=CC=CC2=CC2=C1,2.6720076
25,CC1=CNC2=CC(=C=C=C2)C=C2C=C2C1C,2.9914114
26,CC1=C(C2=CN=CC=NC=C2)C(=O)N=C1,2.646961
27,CC1=COC(=O)OC2=CC=[C-]C=CC1=CN=CC=C2,2.831056
28,ONCCNNNN=CC1=CC=CC=CC=C1,2.9020114
29,NCCCCOC1=C2C=C(N=N2)SC=C1,2.9551768
30,CC1=CC=CC=CC=COCCC=CC=CC=C1,2.9795468
31,O=C1NC=N[N]C=CC=CC=CC=NNS1,2.7957985
32,CNC1=CC=CC=CC=C2C=CC=CC21C,2.3296068
33,C=c1c2cccsc-2c2c1=CC=C2,2.682599
34,CSc1c2cccc1C1=CC=C2C1(S)N=N,2.762949
35,CCCc1c2ccc3ccccccc-3cc1-2,2.793177
36,CCC1=C(C(N=N)N=N)CC=[SH]S1,2.8957188
37,N=C1C=NC2=C(C=CS1)C=C[SH]NS2,2.3697908
38,C=CC(C=S)=NC(OCC)[SH]=S,2.8407393
39,C[N][N]C1=CC=C(N=CNNNN=NNC)C=CC=C1,2.7317386
40,NN1NN=CCC=C2C=C2C=CC=NNN1O,2.5242572
41,CCNC1=CC=CSC=CC=C2SC=CSC2C=C=CN1,2.6630032
42,O=C1CC12C=CC=NN2c1cccs1,2.7817721
43,N[C]C1=NC=CC=CN(CC=O)C1,2.9146101
44,CCCCC1=CC=CC=NCCN2C=CC(C1)N2O,2.646591
45,[C]1=CC=CC=CC2=CC2=CC=CCNC1,2.6307914
46,CN1C=CC=CC2=CC=CC=CC=CC2=C1,2.6362052
47,N=c1cnccsccccc2cnc1-2,2.1234941
48,SC1=CC=CC=Cc2cscccccnncc1c2,2.8399534
49,C=CC1=C=C2C=C(N)CCNSC2=CC=NS1,2.6754308
50,C=CC(=O)C1=CC=C=NC=CC=CC=C1,2.545925
51,COCC=NNNNCNNC1=CC=C1C1=CS1,2.9783242
52,NNC1=c2c(N)ccncc3c(nc2NN1)=C3NON,2.4939942
53,CNc1ccccccc2occcc1-2,2.8759294
54,O=C1C=C2C=C3C=CC=C3C=CC=C12,2.4953601
55,SCC=C1C=CSN=CC=C2C=CC=CC=C2C=C1,2.8179996
56,C=C1C=CC=C(C(C)=N)C=CC=CS1,2.2920814
57,C1=CC=C2C=S2C=NCCSC=CSC=C1,2.4494896
58,COC1=C(C)CCC2=CC=CC2=C1,2.9282026
59,CC12C=CC=C3N=C3N=C1C=CCC2,2.3832085
60,C=CCOC1=CC=CC=NC=CC=CC=C1,2.6301463
61,NNN=C=C=CS[C]Cc1c[c]ccc1NC=O,2.350994
62,Cc1cccc2c1-c=c-c1ccccn-2occc1,2.913464
63,CCCC1=C(S)c2cc(cs2)SC=CC=C1,2.727951
64,O=C1C=CC=CNCNNN=C=CC=CN=NC=C1,2.6679711
65,NSCC1=NC=CC=CN=NN=CC=CC1=S,2.5593548
66,CC1=CC=CC2=CC3=CC=CC=CS3=NOC=CC2=C1,2.2566574
67,CC1(N)C=NN=CN=CC2=CC=C1C2=O,2.2419834
68,COc1ccc2cccc(=O)oc1-2,2.8787975
69,CC1=NS2=CN=CC=C2[SH]2CC2SC=C1,2.4752011
70,COC1=CC=CC=CC=c2ccccc2=CS1,2.3668807
71,O=CCSC1=NC=CSSCN=CC1=S,2.9259768
72,CC1CC=CC=CC=C2c3ccccccc1cc32,2.9744449
73,S=C1C=CC=CN=C2SC2=C=C=NS1,2.924962
74,CCN1CC2=CC=CNOC2=CC=CC=N1,2.7340584
75,COCC1OC=CC=CC=CC=CC2=CC=C21,2.9832306
76,O=CC1=CC2=C(CN=CC=C1)SC2,2.6904852
77,C1=CNC2=CN2C=CCC2=CC=CC2=C1,2.6078126
78,NC1=CCC=CC=C2C=CN=C2C1,2.8325882
79,CSC1=CC=CC=CC=CC=CC=CC=CN=N1,2.5103698
80,CC1=CC=NC2=CC2=CSC=C1,2.872262
81,OOCC1=NC=CC=CC=CNNNNNN1,2.675125
82,NC1=CC(=CC(N)=[SH]CC=O)C1,2.8255234
83,CNCC1=CC(OC)=CC=CC=CN([N]CCN)N1,2.689898
84,COCC1=CC=CC=C=C=CC=[SH]C=C(C=O)CCCC=CC=C1,2.3309145
85,N=C1C=CN=CC=CC=CC=CC(O)=C1,2.5796568
86,C=CC1=CC=CC1=CC=C=CC=S,2.6210535
87,OOC1=CC=CC=CN=CC=NC=C2C=CN1N2,2.686001
88,Cn1ccc2ccccsc=2cnsnn1,2.6273174
89,O=CSC1=CC=CC=CC(=O)C=N1,2.855377
90,C=NC1=CC=CC=CC=CC=CC=C1OC,2.7427707
91,CCC1=NC=CC=CC=C(N)C=CCC=C1,2.9006386
92,C=CSSc1ccc2c(c1)C=CC=CC=C2,2.7313015
93,C=C1C=CC=CC=C(C=N)CC1=C=NNS,2.5353494
94,NCCC=CC1=C=CC=CC=CC=CC=C1,2.5710247
95,COC1C=CC=CC=CC=CC2=C1C2,2.7439194
96,C1=CC=C2C=CC=C3C=C(C=C1)C=C3N=N2,2.7631297
97,CC=CC1=CC(=CC=CCCO)C=CC=C1N,2.80351
98,c1cc2c[nH][nH]c-2ccc2c3cc-3cc2c1,2.5756774
99,C[SH]1CCNC(C=CC=O)C1=O,2.476085
100,C=C1C=CC=CC=CC2=CC(=C2CCC(C)=O)C=C1,2.9675143
101,[S][C]=CC[SH]=c1cc1,2.1295185
102,O=C1C=CC=CC=NC=C=C=CS1,2.4611802
