,SMILES,pred_gap
0,CNC1CNC=NC=CC(N2C=NC2)=NC=CC1=O,2.719404
1,C=C1C=CC(C=O)C=CC=CC=CN1,2.984299
2,C=CC(=C=C1C2=C(CS)C12)C=CC,2.4603376
3,CNN=CCC(C=N)[N]C=CCC=CC=CNN,2.5235937
4,CC1=CC=C2N=CSC=CC=CC=C[SH]2S1,2.9820714
5,C=CC1=C=[SH]C2=CSC=CC=CN=CC=C2S1,2.8647084
6,CCC1C2=CC=CC=CC=CC1COC2=O,2.5881112
7,C=C(CCC)NC1=C(C(C)=S)C=C=C=C1,2.5975695
8,NNC1=CN=C2C=CC=CC=CC=C1C=C2,2.315678
9,S=NSS[SH]1C[SH]=CC1=S,2.1047504
10,C=CC(=C)C1CC=CC=COC=CC=C2N=C21,2.7303836
11,C=CCNOC1CC=CN=CN=CC2=NC2=C1OO,2.7151322
12,SSC1=CN=CC=NC=CC=NSCC=CCO1,2.4951372
13,CCC1=CC=CC=CC=c2ncccc2=CN=C1,2.821195
14,NSC1=NC=CC=NC=CN=NC(=O)C(OO)=N1,2.778672
15,NCC1CCCCSC[C]C1=CC=S,2.7622983
16,C1=CN=CN=CC2=NC=NC=CCC2=C1,2.515895
17,C1=Cc2ccc3c(cccnc2=CS1)=C3,2.5485663
18,C=NN=CC1=CSC2=CN=C(CC)N1N2C,2.739076
19,CN1CC=c2ccccccnnncccc2=N1,2.5652373
20,CCCCCCCC1=CC=CC=C(C)SC1=NN[C]NNC,2.4728897
21,CC(=O)c1=c-c=c-c=c2cnc-2=c-n=c-c2cc-1c2,2.037778
22,CC1=CC=CC=CC=CC2=CC=CC=C1S2,2.0905344
23,N=CSCCC1=C2C=C2CC1=O,2.8287263
24,O=Cc1sc2ccc3ccnc-3cnc1-2,1.9321449
25,C=Cc1cc2cccnccccccc1-2,2.4631968
26,O=c1cccccc1-c1cscnnccc1C1=NC=C1,2.8058124
27,CCC1=CC=C(S)C2=CC=C1C2,2.9641132
28,N=c1cccccccnsc1=NNN=CS,2.4020252
29,C1=C=C2C=C2N=CC=CC=CNSC=CC=CC=1,2.7214303
30,CCC1C=CC=CC=CC=C2N=C2CC1,2.9901364
31,O=Cc1ccccc2sccscc1-2,2.3220716
32,N=CNCC(=CCN=S)N1C=CN=C(N)C1,2.6076279
33,CCC(C)c1ccc2nn3c(cc1-2)C=CC=CC=CC=CO3,2.6364515
34,N=CCNCC[SH]=CSS.N=CN,2.9192944
35,CC(=O)C1=CC=CSC(C)=NSS1,2.764192
36,CN1C=CC2=CC=CC=CC=CC=NC2=N1,2.456366
37,COc1cccc2c1=CC(=N)N=2,2.7960136
38,CC1=CC(=S)C=CC=CC=CC(N)=C2CC=CC=C2C(C)=C1,2.3745036
39,O=C1C=Cc2c3cc(nc21)C=CC=C3,2.8297527
40,C1=CC=CC=C2C=CC=C2C=NC=CC=C1,2.8443244
41,C=C(O)C1=CC=C2C=CC=CC=CSC=S21,2.425682
42,CC1=CC=CC=C2C=CC=C(C=O)C=C12,2.8918552
43,O=C1C=NN=C=C2N=CSC=CC2=CC=CC=CO1,2.651281
44,NN1N=CCON=Cc2c(SC=O)ccnc21,2.796297
45,C1=CC2=c3cnc(scccc3C=C2)=N1,2.8531263
46,N#Cc1cccccccncc2ccc1-2,2.5224075
47,CC1=C2C=CC=CC=CN=CC=CC1=C2N,2.085873
48,S=C1SC=Cc2scc1sccc2S,2.9278126
49,N=c1ssc2c1=NNc1ccccc1N=2,2.8153133
50,CCN1NNCC=NN=NN=CN=NS1,2.964968
51,COC1=CC=CC=C2C=CN=CC=CC=CC21,2.821066
52,CC1=C(S)C=C=CC=CC=CN=C1,2.7910132
53,C=C1C2=CC1CCN=C=Cc1ccc3cc1CC=C23,2.9939995
54,CC1=CC=CC=CC=C1CC(C)NNNN,2.9140232
55,N=CNc1c2cnnc1C=CC=CC=CC=C2,2.6434197
56,S=CC1=CC=CC=Cc2cccc1c2,2.4609697
57,O=C1C=C2N=CCC=NNN2C1,2.9981747
58,CCC1=CN=CC=CC(S)=NC=CC=N1,2.526203
59,CNC1=C=CC=CC=CC=CC=CC=C1C,2.5886188
60,O=CC1=CC=C2C=CC=CC=CC=S12,2.447238
61,Cc1cccccccc2cccc-2c1,2.94623
62,COC1=CC=CC=CC=CC=C=[SH]C=CN=C1O,2.4825828
63,CNC1=CC=CC=CC=CC=CCC(NC)S1,2.6182702
64,C=CN1C=CC=CC=C2C=CC=CC=C2S1,1.9353735
65,CC1C=CN=CSC(C#N)=CSC=CC=C1O,2.8836663
66,C=C1CCC(O)=CC=CC=CC=C1CC1=C(OC)CC1,2.8288908
67,C=C=C1CC(=O)N=CC=C=CC2CC(OC)C=C=C12,2.8318238
68,C=C1CC2=C1C=CC=CN=C(CO)C(N)=CC=C2,2.6663985
69,NC1=CC=CC2=C(SC1)SSC=C=C2,2.5002234
70,COC12C=CC=CN=CC=CN=CC1=C2,2.9189053
