,SMILES,pred_gap
0,O=C1CS[SH]=CCC2CONC=C2CS1,2.894531
1,CN1C=CC=CC2=CCCC=NN=C21,2.7937856
2,Cc1ncccnc(=O)ccc2c1C=C2,2.8891273
3,COC1=C(OCCCO)C=CC=CC=CC([C]=NNO)S1,2.6165953
4,N=C1C=CC2=NC=C(N)CN=NC=CC=NC23C=C1N3,2.6798155
5,O=CC1=CC=CC=CC=CC=CC=CC=CS1,2.4908502
6,O=c1ccc2ncc1=CC(O)=CC=2,2.7411861
7,O=C1C=CC=CC2C1=CC=CC=CC1=CC=CC=CC=CCC12,2.4270947
8,NC1=CC=CN=C2C=NC=CC=CC(=O)N=CC1=C2,2.786768
9,C=CN1C(C)=NON=CC=CN=C1CC,2.983596
10,CON1C=CC=CC=C=NC(=O)C1,2.9170313
11,O=C1OC=C=CC=NC=CN=CC=CO1,2.9617767
12,CCC1=CN(C2=CC=CC=CC=CC=CC=C2)C[C]1,2.2360065
13,OC1=CC2=C(C=CCN2)N=C2C=C2C1,2.5383806
14,C1=CC=c2ccc3c(c2C=C1)CC=CC=3,2.5131967
15,CC(=O)C1C(=O)C=NC=NN=CC=C(C)C(O)=CC1C,2.883698
16,N#CC1=CC=CN=C([SH]=C=CS)C1,2.6762967
17,C=C1C=CC2=CC=C2C=CC=C1CSS,2.710852
18,CCC(=O)C1=CC=C1CN(O)CCC=CNNC=NO,2.7853904
19,[N][N]CC=CC1=CC(O)=C1,2.442174
20,C=CON=c1ccc2nnc-2c2c(C)cccc2cc1,2.7080412
21,S=c1ccccc2ccnccccc-2c1,2.001426
22,S=C1NC=CC=CC(S)=C1[S-]S,2.7111132
23,CC1=CC=CC2=C(C=CC=CC=CC3=CC3NC=C1)N2,2.4580815
24,CC1=C2C=CC2=CC=C=C=CN=CNCNNNN1,2.3344162
25,C1=CC=C2C=CC=C3OC(=C3C=CC2)C=1,2.8927805
26,CN=CC1=CC=CC=CC=C=C=CC=CSS1,2.4553056
27,CNCC1=CN=c2ncccc2=CSC=CC=C1,2.4439576
28,Cn1cccccc2cc3ccccc3c-2c(=O)[nH]1,2.7930562
29,O=C1CNNC=CC=c2[nH][nH]c2=CN=N1,2.3266845
30,C=NC1=CC=CC=C(CCC=O)C1=C,2.6049142
31,CC1=CN=CC=CC=CC2=CC=CS12S,2.536306
32,SNn1o[nH]ccc2c1=CC=CC=CC=C=2,2.548989
33,C=C1C=CCCNN=CC=[SH]CNN1CS,2.9263835
34,SNC1=CSC=CSC=CSC1=CSS,2.2465243
35,Cc1ccc(NN=NNCC(=O)[N]O)cc1,2.971835
36,O=C1C=CC=CC=CC=C1C(=S)S,2.1042132
37,[NH]C1=CC(S)=CC=CC=CC=CS1,2.4611413
38,C=C1N=NC=CC=CC=CC(=O)N=C(N)C1=O,2.2007246
39,CC1CN=NC2=CC=C3C=CC(=C31)C(=O)NCCC2,2.7933414
40,COCC(=O)C1CSCC1=C=[SH]S,2.8700478
41,C=C1CC2=NC=CN=CC2=CC=CC=CS1,2.4984512
42,O=CC#CC1=CN=CC=CC2=CC=C2CCC1,2.8432684
43,CC1=CC2=CC=CC(=O)C=CC2=CC=C1,2.6375067
44,N=C1C=CC(O)=CN=CC=CC=CN=C1,2.0728917
45,SC1=c2ccccccccc2=C=CN=C2C=C2C=N1,2.1354606
46,CN=C=C=CC=CC(=O)C=N,2.2635968
47,O=C1CC=CC2=CC2=CC=CC=C2C=C12,2.5972729
48,CCC1=CC=CC=CC=CC=CC=CC=CC=N1,2.5472536
49,CC1=C=CC=CSC(S)C1=[SH]CSS,2.0461106
50,C=CCC=NC1=CC=CCC=CC=CC=C1,2.944905
51,C=C[N]C=CC(=CN=S)CCCCS[CH]N,2.5345612
52,CC1=C2NNSC=NC=CC=C=C=C2C=CC=C1,2.5710227
53,CN=c1ccccccncccc2cc-2n1,2.4374628
54,O=C1C=CC=CN=CCCC=NNO1,2.8558037
55,O=C1C2=NC=NC=CC=CC=Cc3cccc2c31,2.6801825
56,Cc1csc(=S)c2ccccccsc12,2.755634
57,C=CC=CC(CSC[SH](C)S)SSSC=S,2.5427594
58,O=Cc1cc2cccc(=O)ccc-2c1,2.7738342
59,COC(N)=COC=CC=CC1=C(N)C=CSC=C1,2.6969523
60,C1=CC=NNCNC=NN=C(CC2CS2)C=C1,2.9982865
61,C1=CC=c2ccccccc3c(c2CN=C1)C=CN=NC=3,2.3495636
62,ClC1=CC=C=CC=CC=CN=CC=C1,2.1985028
63,CN=C1C2=CC=CSC=CC=NN=NC=CC1=C2,2.9406648
64,O=C1C=S2C=CC3=CC=C3C=C2S1,2.0371542
65,CC=C1C=C2C=CN=C(CN)OC=C2C=CC=CC1,2.8784869
66,C=C1C=CC2=CC=CC(=[SH]C=CC=C2)C1CC,2.7052329
67,C1=CSSC=CSC=CSC=CN=CSSN=C1,2.716658
68,[O]C(O)=C=NN=[C]C=O,2.536422
69,OC1=CC=CC=C2C=CC=CC=CC=CC=C12,2.829154
70,C=C1C=C2C=CC=NN2N=CC(CN)CCCCC=C=NC1,2.9357
71,NC1=CC2=CC=CC=CC2=CC=C=c2c(=O)c2=CC=CC=C1,2.182574
72,C#CCNN1C=CC=CC=C2C=CC=CC=CC=C1S2,2.7276826
73,NC1=CC=C2N=C=C1C=CC=CC(=O)S2,2.3456063
74,S=C1C=CC=CSC=C2C=CC=C2CN1,2.8794765
75,Cc1ccc2c(ccn[nH]1)C=CC=CN=CN1N=[C]NC1=C2,2.3341334
76,CSC1=NN=CC=CC=C2SC=CC=C1S2,2.1200056
77,N=NC1CCNC(=N)C=CC=CC=C(O)S1,2.9264774
78,CSC1=CC=CC1=C=CSC=[SH]S,2.4312005
79,CCNNC1=CC=CSC=C=C1CC=S,2.273024
80,NC1=CC2=CN=C(O)C(=C=CC=C1)NC=CC=C2,2.3497336
81,C=NC(C)(C)NC1=NC=NN=CN=C1CN,2.4371123
82,CC1=C=C=CC=CC=C=[SH]CN=NN1,2.49252
83,SSC1=CC=c2[nH]ccc2=N[CH]1,2.451462
84,S=c1cccccc2sccncssc-2c1,2.4515498
85,CC(C)C1=CSC(N)=CC=CC=CC=C1S,2.754282
86,C=C(CNNNC)C1C=c2ccccc2=CN=C=NNN1O,2.9288921
87,NC12C=CNC=NC=CC=CC1=C2C=O,2.5509443
88,COC1=CC=CC=CC=CC=CN=CC=CC=C1,2.420554
89,CN(O)N=C1C=CC=C2C=CC=CN=NC=C2C1,2.9010506
90,ON=CCC1=CC=C2C=CC=CC=CC=C21,2.650586
91,COC1=CC=CC=CC=C2C=CC=CC=C2S1,2.275811
92,NNn1cnccncc(=S)cn1,2.9655836
93,O=C1C=CC=CC2=S3C=C3C1=C2,2.4658818
94,N=C1C=c2ccccccccccncc2=C1,2.429284
95,S=C1SC=Nc2sc1cnnc1cc2-1,2.796704
96,CCC1CC=c2cncnc2=NC=C2C=C1C2,2.4374456
97,OC1=CC2NC=CN=CC=CC=CC=CSC(O)NNN12,2.5850415
98,CC1=CC=Cc2ccccccnn2N=N1,2.5766468
99,CSN1CC(C)(C)C=[SH]SC[SH]=CS1,2.702746
100,CCCC1C=CC=CC=CC=S2C=CC2=CC1,2.3092763
101,CC1=CC2=CC=CC=Cc3cnccc3C2=N1,2.4972148
102,C.N=C1C=CC=C2[N]N1CN2N,2.826092
103,CC1=C(C)SC2=CNC2=CC=CC=CC=C1,2.9936433
104,C=C1C=CC=CC=CC=CSC[SH]=[SH]1,2.237079
105,C1=CC=C2C=C(CSS2)SCC=C1,2.7650015
106,OC1=[SH]CC2=NC=CC=CC2=NCC=C1,2.4522164
107,NNC1=CC23N=CC=CC=NC=CNC=C2C3=C1,2.7874348
108,CC1=CC(c2[nH]nc3c2C=CC=CC=C3)=C1,2.765845
109,NN=c1ccnc2cnncccn-2cc1,2.3734117
110,N=c1cncnc2cnccccnc-2c1,2.6230288
111,CN=c1cccccccc2cccc-2s1,2.3251343
112,C=C1CC2=C=C=C2SC=CSC=CS1,2.782871
113,CN1C=CC=CN[N]C=NC=C2C=NN2N=CC1=N,2.7697415
114,N=Cc1ccccccnc2c1SSS2,2.8429475
115,[S]N1CC1=C1NC=CC=NC1=S,2.9213905
116,S=C1C=CC2=CC=CSC=C=CSC2=C1,2.4132288
117,C=C1C=CC=CC=CC=CC2=CC2=C1C,2.4427176
118,N=C1C=C2C=NC3=NC=CC=CC=C3NC12N,2.9054918
119,CCC1C=CC=C2C=CC=CC=C=CC2=C1,2.8216922
120,CCOc1ccccncc2cc-2cnscccc1,2.9883282
121,S=CC1C=CC=C2C=CC=C2SC1=S,2.7584648
122,CC1=CC=C2C=CC=C1C=CC=CC=CS2,2.6314924
123,NOC(N)CC1=NN(C=S)C=[SH]1,2.7329628
124,C=CC(=CCC=CC=CC)CC=S,2.8267581
125,CC1=CC=CC2=C3C=C3SC(NN)N=NNC2=C1,2.467822
126,C=C1CC2=CC=CC=C(CC)C(=O)NC12,2.8701308
127,CC=CNC1=C[SH]=C(N)C=CN=N1,2.8414168
128,N=C(O)C1=C2C=CC2(CO)C=CC=CN=NC(O)=CC=C1,2.9025126
129,COC1=CC=CC=C(ONCC=O)C2COCN12,2.8719668
130,O=CCC1C=NC2=CC=CC=C3C=C3C=CC=C21,2.795359
131,NC1=CC=CC=CNCC(=O)N=CO1,2.8066702
132,NCC[C]c1ncscc2sc1SC=C2,2.873446
133,NC1=CC=CC=CC=CC=CC=NN=CC=CC=NC=C1,2.5318813
134,Cc1cc2cc3cccc-3ccccc1-2,2.5178316
135,CC1=NC2=S(C(=O)N=N2)C(C)=N1,2.8377075
136,C#CC[C](N)C1=NC=CC=CC=CC=C(N)NC=CC=C1,2.7804608
137,NSC1=CC=CC=CC=CC=CC=CC=CC=N1,2.2637994
138,C1=CC=C2C=C(C=C1)C1=NN=NC=NN1SCC=CN2,2.2556202
139,OCC1NC=CC=CC=CC=C1c1nccc2c1CNC2,2.761537
140,CCC1=CC=CC=CC=CC=CCCNCC=N1,2.437186
141,[N]=NC1=CC2SC=NC(=C1O)C2=N,2.6648393
142,O=c1nc2cncnnccccccc1-2,2.8156033
143,S=c1ccccc2c1C=CC=CC=C2S,2.6654866
144,C=C1C=CN=CSC=C1C1C=C1SS,2.539382
145,[C]C1CCC(=O)C([N]NN=O)CN=CCN1,2.5328407
146,O=CC1=CC(O)=NN=NCC(O)C=C1,2.895064
147,CC1=C2C=CC=CC=CC=C=CC=CC2=NC1=S,2.2595513
148,CNCCC1=CC=CC=C2CC3=CC3=NC=CC=C12,2.8045406
149,C1=CC=C2C=CN=C2N=C[N]SC=CN=C1,2.5412526
150,CCC1SCC=C=C(O)C=CC=CC=CC2=CN=C21,2.8966784
151,c1ccc2ccnc-2nc2ccc-2c1,2.8711095
152,O=c1[nH][nH]c2cccc3cn-2cc13,2.7616713
153,NC1=CC2=CC=NC=CC=c3ccccc3=C=C=C12,2.4628744
154,C[C]1SC2=CC=CC=S2[C]C2=CN2S1,2.1249347
155,NNNNNCN1NCC2=CC=CC=C(C=S)C1=CC=CN=C2,2.2092528
156,ClCC1=C2C=S2SC=CC=NC=CC=C1,2.6571784
157,O=C1C=C=C2N=C2C=CC=CN=CC=C1,2.2827594
158,COc1ccc2c(cnc3c4cc=3cc-4c1)=NC=NC=CC=2,2.6314754
159,Nc1ccc2c3c1C=CC=3C=COOC=CC=2,2.843358
160,COC1=CC=C2C=C=CC2=C2N=C12,2.4304464
161,N=C1C=CSC=CC=CCC(=O)N1,2.8870177
162,C#CC(=C=O)C1=CC=CC=CNNN=N1,2.890346
163,O=CC=CC1=CC=CC2=CC=CSC2=N1,2.641129
164,C=C1SC2=CC=CS[SH]SC=C12,2.8972647
165,C1=CC=C2CCCC3=CS3=CC=C2C=C1,2.9300883
166,NCC1=[S][N]CCCCC1=S,2.944391
167,O=CCOC=C1[SH]=CC=CCCCC1=O,2.8137238
168,C=CCNC1=CC=NC=CN=C2C(N)=C2N1,2.6288118
169,OOC1=CC=CC=CC=CC=CC=CC=CC=C1,2.6124856
170,C1=CC=CC=CC2=CC=CC=CC=CC2=CC=CC=1,2.7596583
171,C1=CC2=C(C=CC=CC=CC=CCC=C2)[SH]=1,2.5196376
172,[C]=NC1=CC=CC=CC=C1,2.5472217
173,CC1=CC=CC=C(O)C=CNCCC1=O,2.7165918
174,C[C](N=N)C1=CC=NN=CC=C1NON,2.9715
175,C=C1C=CCCC=NC2=NC(C=N1)SC2,2.858938
176,O=C1SC2=C1C=CNC=C=C=C2,2.736455
177,C=C1C=CC=CC=CC(=O)CC=CC1,2.9789593
178,C=C1SCC2=CN=C2C=CC=CC2=C=CN12,2.8937347
179,CCCCC1=C=[SH]C1=CC=C1SC1C,2.7395425
180,C1=CC=CC=CC=CC2=C(C=N2)N=CC=C[SH]=1,2.4708676
181,CC1=C2C(=CC=CC=C2SS)C=CC=C1,2.7060933
182,CC1=CN=CC=CC=CC=C(SNO)C1,2.3908596
183,C1=CSC2=CN=NCSC=C(C=1)C=C2,2.9501731
184,CC1=C=C=CC2=C(O)CC=CC=C2C=CC1=O,2.897867
185,Nc1ccc2c(C=S)ccc3sc=3sc1-2,2.2673461
186,CCS(=O)C1=CC=C(S)SC1,2.786373
187,COC1=C2C=C=CC=C=C=CC=CC1=C2,2.6032743
188,C=Cc1cccc2c1=C=CC=CN=2,2.828959
189,CC1=CN=S(CSCCC(C)S)C=C1,2.9628267
190,CCC1=C=C2C=CC=CC=CC2=CC=C1,2.897334
191,C=C1CN2SNCC2C2=S(CC2)C1=S,2.990698
192,Cc1nc2n(n1)C=CC=CC1=C(C=NC=C2)CN=N1,2.8294315
193,CCC1=CC2=CC=CC(N)=CC=CC2=C1,2.4886727
194,COC1=CCN=CC=CC=CN=C1,2.5085657
195,N=c1s[nH]c2c(c3[nH]c1=CC=CC=3)CS2,2.626472
196,CSc1c2ccccccc-2ccn[nH]c1=N,2.702401
197,Cc1cc2c([nH]1)=CC=CC(=N)C=CC=CN=CC=2,2.7030113
198,C=CCSC1=NC=CC2=CC=CCC2S1,2.9404318
199,C=CC1=C2C=CC=CSN=CC=CC=C2C=C1,2.5123427
200,[C]=C=C1C=CSCC=CC(C)=C1,2.657092
201,C=CC1=C2C=C=C=C(C=CC=CC=C1)SC=C2,2.7140217
202,CCCSC1C(C2=CC=[SH]2)[SH]1C,2.9250963
203,CN1C(N)=C=C=NCN=[SH]N=C1N,2.3603349
204,C1=CC=C2C=CC=CSSSCC=CC2=CC=C1,2.7293901
205,N=C1C=CCNC=NCN=NN=C1,2.8662865
206,CC1C=CC=c2ccncccccc2=CSCC1,2.6649728
207,CC1=CN=CC=CC(C)=NN=CC=CC=CC=C1,2.3513672
208,CCOCC=CC=CC=CCC=N,2.9330015
209,CC1=CC=Cc2ccccc2N=C(O)[N]C2CC=C12,2.954472
210,S=NNCC=[SH]CCC1C=CN=CCS1,2.8928518
211,NC12C=CC=C1C=CC=CN=CC2=O,2.109625
212,SCC1C=C2C=CC=CCC2=CC=CC1,2.724686
213,O=C1SC=CC=C=COC=NSC1=O,2.9358416
214,O=c1ccn2c(c1)C=CC=C=C=C2,2.3683133
215,CC1=CC=CC=C=[SH]C=CC=C2C=CC2=C1,2.2777846
216,CC1=CC=CC2=CC2=C=CC=C1,2.797129
217,C=CC1=CC=CC=CC=CN=CC=C1C=[SH]S,1.9659624
218,C1=CC=c2ccccccccc2=CC=C1,2.609575
219,O=C(O)c1ccc2cccccc1-2,2.5909307
220,C=c1ccc(=CC=C=CCN)s1,2.938542
221,COC1=C2C=CC(=CC=CC=COC2)C=C1,2.7696052
222,CCC1CC=CC=CC=CC=CC=CC=CSC=C1C#N,2.8253205
223,O=C1CC=CC=CC=CC=CC=NC=CS1,2.6242154
224,S=C1C=Cc2c1cccc1cccc2-1,2.9458694
225,O=c1cnc2cccccccccnc1-2,2.3566105
226,N=C(O)C1OC=CN=CC=C(SS)NS1,2.6362495
227,Nc1cc2cccc(=O)c-2cs1,2.496372
228,NSCC1=[SH](=S=O)C(=O)C=[SH]1,2.080625
229,CCC1CC2C=C(C=CC=C2C=CC(=N)N=O)O1,2.768054
230,C=C1C=CC=C2C=COOC=CC=CC=C2S1,2.5021565
231,C=C1C=CC=CC=CC=CC=C(N)C=C1,2.9070363
232,NC1=CN=CC=CC=CSC=C(C=O)SSC1,2.7253861
233,CC1=CC=CC=COC(=O)CNC=CC=C1CCO,2.95032
234,OSCC1=CC=CC=CC=CC1=S,2.3097448
235,C=CCC(C)C1=CC=CC(=O)C2=CC=C(O)C2C1,2.6702023
236,COC1CN=C2C=CC(=O)C=NNNOC=C1C=C2,2.4953694
237,NC1CCN[N]C=CC=CC2=CN=CC=C1NC2,2.9344423
238,CCC1=CC=CC=CC=CC=COC=CC=C1S,2.181995
239,O=C1C=CC(SCC2=CC=C2)=C1,2.6623273
240,COC1=CCC(COC(C)C)=C2C=COC=C2N=C1O,2.856471
241,NSC1=CC=CC=CC=CC=CN=CC=CC=C1,2.3506958
242,CC1C=CC2=CC(=CC=CC=CC=NNN1)O2,2.8032823
243,CCC1CC=C=CC=[SH]C(S)SS1,2.797308
244,C=C1CC=C=C=CC=C(OO)C=CC=CC=CC=CC=C2C=C2C1,2.6321037
245,CSCC1=CC=CC=CC=CC(N)=CC=N1,2.8280704
246,NNC1=CC=C=CC2=CC=NNCC=C21,2.3061492
247,CC=C1C=CC=CC=CSC(=S)C=C1,2.5715227
248,O=CC1=CC=C=C=CC=C=NOC=C1,2.78916
249,CC1C=C2C(=CC=NC=C(O)C1)C1=C2C(=O)CC1,2.7357554
250,CC(SCC=O)C(=CN)CC=[SH]S,2.8233833
251,O=CCCc1cc2cccccc-2c1,2.940917
252,CC1=CC2CN(C)CCN(C=N)CC(=NN=C1)C=CNN2,2.911675
253,C=C1C(SCC2=CCNN2)=CNc2ccccc21,2.9183047
254,C=C1CC2=C(C=CC(S)=NSC2)S1,2.9656897
255,Cc1csccc2c(cn1)=NN=CC=CN=2,2.5900397
256,OCC(O)C1=NN=C2C=CC=CN=NC=C21,2.740895
257,S=C1CN=CC=CSC[SH]2C=C2C1,2.655259
258,C=C1N=[SH]C(SCC(N)N=O)SN1,2.907574
259,OC[S]1N=N[CH]C=NN=NN=C2C=CN=C21,2.6416922
260,SNC1C=C=CSC=CSC=CC=CC=CS1,2.3810225
261,COCC1=CC=CC=CC2=C1C2CN,2.6379235
262,CSC(C)CCC[N+]1([O-])C=NN=CS1,2.6830077
263,C=C1C=CC=C2CC2=NN=NC=C(CCC)C=CC=N1,2.6554413
264,CC1=NC2=CC=CC=CC=CN1CC2OCO,2.5854397
265,NOC1=CC=Cc2ccccsccc2N1,2.9199317
266,Cc1csc2c(cnc3c(cnc4c1=C4)C=3)C2,2.8358727
267,C1=CCNC=c2nnc3c(c2=CN=3)=C1,2.7083738
268,CC=C1C=CC=CC=CN=CC=CC=CN=C1,2.6251712
269,OCC1=C2C=C=C(C=N1)C=C1C=C1C=CC=C2,2.8837879
270,CCc1cnc2c(C)ccncc1C=CC=CC=C2,2.7372403
271,CC1=C(C#N)C=CN[N]C=C1,2.673498
272,CCC(CNCCN)=NC1=[SH]CC=CC1,2.8982954
273,O=C1C=CSN=CC=NN=CSC1,2.5533674
274,C1=CC=CC=CSC=CC=CC=CN=CC=CC=C1,2.43474
275,N#CC1=CC=C2C=CC=CN=CNC=CC=C12,2.6784582
276,NC1CN=C2C=CSC=CC1=NC=CN2S,2.721594
277,N#CCC1=NNC=CN=NC=NN=CC=NN=C1,2.6080427
278,O=NC1=NNC=C=CC=CSC=CC=C1,2.498505
279,N=C1C=C2N=NC=C(C=O)C=C2N=NC=N1,2.7587037
280,CC1=CC2=CC=C=c3ccccc3=CC1=C2,2.4413483
