,SMILES,pred_gap
0,N=c1ccc2[c]cnccn-2cc2cc1-2,1.902445
1,O=c1c2c1=CN=NC(CS)[SH]=C=CSC=C=2,1.7718757
2,O=C1C=C=C1C=CC=S,1.7621887
3,NNC=NCCC1=CSC=C=C=CC=CC1=S,1.7395189
4,NCC1=c2c3nccccnc(c2=3)=C=C1,1.8836167
5,O=C1[C]=C2C=CC=CC=CC=CC=C12,1.9967567
6,OC1=CC=CC=CC=C=C=CC=CN=CC=C1,1.8797005
7,NC1=C(C=C=O)C=CC=CSC=CC=CC=CS1,1.6453524
8,O=c1cc2c(co1)C=CC=CC=NC=CC=C2,1.9633257
9,NN=CC=CC1=CC1CN=S,1.9430315
10,CC1=NC2=C=CSC2=C1C1=CSCSN[SH]1N,1.847131
11,O=NS[C]1C=C=[C]C2=CC=CC2=C1,1.9557679
12,O=C1OC2=CC=CC1=CC=CC=C=NSSCN2,1.8627598
13,NC1=CC=CC=CC2=CC(C=O)C2=[SH]1,1.8495594
14,O=c1ccccccc2ccnscc1-2,1.9315892
15,O=CC1=CC=c2cccc3cc-3ccc2=CN=N1,1.7032721
16,O=c1ncc2c(c3c1=CC=C3)C=CC=2,1.9864208
17,CSCC1=CSC=CC=CN=NN=C1N=CS,1.988229
18,CC1=C=C=CC=CC=NC=CSSSC1,1.9595995
19,O=c1sc2cncccccccnc1-2,1.8953788
20,S=C1C=CC=CC=CC2=CC=CC12S,1.941991
21,C1=CC2=c3cc[nH]c(occ3)=CC(=C1)C=C2,1.8877177
22,N=C1C=C2SN=C2C2=S1C=CC=C2,1.82812
23,CNc1cnc2c(c1)=CC=CC=NC=CC=CC=2,1.972228
24,C=C1[C]=CN=CC=CC=CC=CC=C1,1.9466195
25,[C][C]c1ccccccnccc2cnc-2cccc1,1.9957926
26,NC1=CC=S2C=CC=CC=CC2=CC=CC1=O,1.9709715
27,SSC1=CC2=CC=C=CC=CSSS[SH]21,1.7969953
28,N=C=CCC=C1N=CC=CC=CC=C=[SH]C1=O,1.9848534
29,CC=C1C=CC=CC=CSC2=C1C=[SH]C=C2,1.9072948
30,NCNC=C1C2=CC(=O)C=NC3=CC=CC=CC=C3C12,1.9218322
31,N=c1cccccc2c(C3=CC=C3)c-2[nH]1,1.9926751
32,O=C1C=C2C3=CC=C3C3=CSC3=CC=S2N1,1.8990628
33,C=CC=C[SH]=S(C=S=C)CSSC=S,1.5577112
34,SN1C=CC=CC=CC=CSC=CN=CSC=N1,1.9877313
35,ON=c1cccccc2cnncnc-2s1,1.9927238
36,N=c1cnc2cnc3cc(c-3c1)=NC=CC=CC=CC=CC=2,1.9868187
37,S=C1C=CC=CC=CC=CS2=CC=CC2=CN1,1.9927537
38,S=C1C=C=CC=CC=NC=CS1,1.9895917
39,O=C1C=CC=C2C(O)=C2N=NC=CC=CC=CC=CC=C=NC1,1.8956681
40,O=C1[C]=C2C=NC1=CSS2,1.873631
41,[C]1=CC=C2C=C2SC=CS1,1.431344
42,[SH]#CC1=CC=CC=C2C=CC=C1S2,1.9486686
43,Cc1c2ccc3c1C2=C=[SH]SSSS3,1.9576755
44,CN1Nc2c3cc1cccccccc-3sc2=O,1.9457018
45,O=C1C=C2C=NC=c3ccccc3=NC1=C2,1.994675
46,NN=CC1=c2ccccc2=CC=NN=NC=CC=N1,1.9955677
47,NC1=C=CC=NC=CC=NC=CSC1CS,1.9366535
48,S=c1cccccccccnc2cc-2c1,1.9394269
49,Nc1cccccc(=S)c1=S,1.8956183
50,CCSC1=[SH]C2=[SH]C(=C1S)CC2,1.9795842
51,CSC1=CC=CC=CC=CC=C(OS)C=C1,1.9547648
52,NC1=CC=C(C=O)C=CC=CSC(S)=C1,1.9812504
53,S=c1ccccccc2cccccc-2c1,1.9991882
54,NNSSC1[SH]=S=CC=CC1=S,1.9807963
55,N=C1c2ccsc2C=CN=CC=C2N=S12,1.9773321
56,O=C1C=C=CC2C(=O)[C]C=CCCCN2CN=C1OO,1.8574203
57,CNC1C=C=CC=CC=CC=CC=CC=CSS1,1.9598726
58,C1=NN=CSC2=COC=c3sccc3=CC2=C1,1.4941337
59,N=C(N)C1=NN=CN=CC=CC=CC=C1N,1.992532
60,NC(=S)N=[SH]c1ccc2c(c1)C=CC=CC=C2,1.8986634
61,CC1=S(C)SC=CC=CC=CC=CC=CC=CC=C1,1.8769021
62,N=C=[SH]C1=CC=CC=CC=COCCCS1,1.9613764
63,NNc1ccc2c3c(cc[nH]1)=NC=NC=NC=CC=C2N=3,1.9350888
64,O=C1C=c2cccccc3cc-3c2=C1,1.881347
65,C1=CC=c2ccccc([nH]cc2)=NC=C1,1.875177
66,SNN1C=CC=CC=CC=CC=C1,1.9564741
67,CSC1=CC=CC=CC=CSC=C1C[SH]=S,1.86183
68,[N][N]C1=CC=CC=CC=CC=CC=C1,1.8582637
69,S=CC1=c2cc3c(cc21)=CC=CC=C3,1.9251491
70,S=C1C=CC=CN=CN=CC=CC=CSC=C1,1.9071211
71,C=C1C2=CC=C[SH]=CSCC1=[SH]2,1.9188409
72,CCc1=c-c=c-c2cccc-2=c-c=c-s-c2cc(c2N)-c=c-1,1.8913841
73,NC1=C(SCC=O)C=CC=CSC=CC=CC=CS1,1.8806499
74,NN=c1ccccc2ncncccc-2s1,1.9176911
75,CNCC1=c2ccccc2=CC=CC=CC=S1N,1.8263422
76,CSC1=CC=CC=CC=C1SCC=[SH]CNN,1.7152492
77,CC1=CC=c2ccccc2=NC=CC1=S,1.6870322
78,O=c1ccc2ccccc[nH]c3c2C=CC=CC=c13,1.8149908
79,S=C1C=CC=CC=NC2=CC=C3NC3C2=NNN1,1.9473144
80,S=C1C=CC2=CN=CC=NC(=C1)N=C2,1.9386292
81,S=C=NC1=CC=CC=CSC=[SH]1=S,1.6795529
82,C=NC1=C(N=N)C=NSNCC=C1,1.9271399
83,N[C]CC=C[SH]=c1cccccc1,1.9154065
84,CN1C=CC=CC=C[SH]1S[C]COOO,1.9500947
85,C=Cc1ccccc2ccc3c-2c2cc-3c1-2,1.8596723
86,C1=CN=CC=CN=CC=C2C=CS2=CSC=C1,1.8104104
87,S=CC1=NC=CC=CC=C2N=NSC=CC21S,1.808953
