,0
0,34518
1,74968
2,84107
3,90623
4,119398
5,119407
6,119408
7,119411
8,119430
9,119439
10,119446
11,119452
12,119464
13,119467
14,119468
15,119475
16,119477
17,119486
18,119500
19,119505
20,119531
21,119541
22,119544
23,119560
24,119569
25,119583
26,119599
27,119606
28,119617
29,119633
30,119636
31,119638
32,119641
33,119650
34,119657
35,119681
36,119682
37,119684
38,119688
39,119706
40,119723
41,119729
42,119735
43,119743
44,119764
45,119768
46,119776
47,119816
48,119818
49,119822
50,119838
51,119846
52,119847
53,119852
54,119873
55,119883
56,119925
57,119932
58,119950
59,119952
60,119960
61,119969
62,119986
63,120012
64,120016
65,120017
66,120025
67,120027
68,120028
69,120043
70,120062
71,120063
72,120078
73,120085
74,120104
75,120114
76,120122
77,120132
78,120147
79,120148
80,120161
81,120210
82,120217
83,120225
84,120230
85,120266
86,120292
87,120316
88,120318
89,120319
90,120323
91,120330
92,120341
93,120343
94,120349
95,120373
96,120375
97,120381
98,120388
99,120389
100,120391
101,120404
102,120417
103,120429
104,120436
105,120439
106,120455
107,120458
108,120465
109,120476
110,120613
111,121411
112,121839
113,121870
114,122110
115,122126
116,122134
117,122205
118,122216
119,122227
120,122228
121,122237
122,122248
123,122269
124,122276
125,122281
126,122303
127,122352
128,122377
129,122406
130,122414
131,122415
132,122433
133,122440
134,122455
135,122483
136,122516
137,122523
138,122566
139,122600
140,122612
141,122622
142,122649
143,122654
144,122677
145,122678
146,122709
147,122714
148,122728
149,122740
150,122826
151,122842
152,122904
153,122907
154,122915
155,122917
156,122924
157,122929
158,122942
159,122962
160,122973
161,123011
162,123048
163,123073
164,123080
165,123088
166,123103
167,123153
168,123171
169,123177
170,123203
171,123205
172,123206
173,123247
174,123277
175,123280
176,123314
177,123316
178,123327
179,123330
180,123338
181,123339
182,123389
183,123390
184,123402
185,123432
186,123462
187,123472
188,123491
189,123503
190,123513
191,123526
192,123531
193,123538
194,123557
195,123572
196,123587
197,123594
198,123604
199,123643
200,123658
201,123667
202,123699
203,123724
204,123728
205,123734
206,123739
207,123753
208,123754
209,123764
210,123770
211,123773
212,123784
213,123807
214,123812
215,123818
216,123830
217,123868
218,123876
219,123880
220,123896
221,123924
222,123928
223,123940
224,123957
225,123972
226,123977
227,123989
228,123998
229,124010
230,124018
231,124035
232,124048
233,124094
234,124116
235,124125
236,124141
237,124149
238,124170
239,124203
240,124206
241,124245
242,124253
243,124271
244,124277
245,124290
246,124303
247,124309
248,124331
249,124334
250,124355
251,124375
252,124425
253,124440
254,124447
255,124455
256,124481
257,124508
258,124529
259,124536
260,124540
261,124566
262,124570
263,124575
264,124578
265,124596
266,124607
267,124609
268,124614
269,124619
270,124639
271,124674
272,124685
273,124709
274,124752
275,124780
276,124810
277,124827
278,124904
279,124909
280,124933
281,124934
282,124951
283,124980
284,125000
285,125010
286,125046
287,125048
288,125055
289,125065
290,125067
291,125135
292,125138
293,125141
294,125164
295,125172
296,125174
297,125198
298,125228
299,125233
300,125245
301,125267
302,125281
303,125327
304,125356
305,125358
306,125376
307,125380
308,125384
309,125389
310,125390
311,125401
312,125452
313,125464
314,125487
315,125492
316,125493
317,125494
318,125495
319,125496
320,125534
321,125545
322,125553
323,125556
324,125558
325,125575
326,125586
327,125593
328,125595
329,125608
330,125615
331,125623
332,125626
333,125634
334,125652
335,125667
336,125670
337,125681
338,125692
339,125717
340,125720
341,125726
342,125748
343,125751
344,125764
345,125766
346,125777
347,125779
348,125784
349,125786
350,125806
351,125809
352,125812
353,125815
354,125825
355,125827
356,125830
357,125849
358,125851
359,125878
360,125894
361,125898
362,125914
363,125924
364,125937
365,125940
366,125945
367,125964
368,125969
369,125976
370,125984
371,126008
372,126018
373,126024
374,126026
375,126046
376,126048
377,126051
378,126054
379,126058
380,126078
381,126081
382,126086
383,126091
384,126095
385,126098
386,126099
387,126104
388,126107
389,126108
390,126110
391,126112
392,126117
393,126125
394,126127
395,126134
396,126137
397,126143
398,126146
399,126150
400,126153
401,126164
402,126187
403,126196
404,126209
405,126210
406,126220
407,126221
408,126234
409,126235
410,126251
411,126275
412,126284
