SMILES,gap
COCCCC(OC)OC,9.187
CCC(CC(N)C(=O)O)C(=O)O,7.089
CCP(=O)(OC)SC,7.053
CCC(C)C(C)C(C)C(C)(C)C(C)C,9.456
CCCCCO,9.225
CCC(C)(C)C(C)=C(C)C,6.67
CNCc1ccnc(C(C)C)n1,5.447719
C[N]N([O])CCCC(=O)O,5.543
C=C(C)c1cc(C(=C)C)cc(C(C)C)c1,5.167
Cc1c2n(c3ccccc13)CN(C)CC2,5.064
CC(CCC#N)([N+](=O)[O-])[N+](=O)[O-],5.927
C=CCCCC=CC(=O)OCC,5.919
COCCCOC1CCNC1,8.115
O=C1CCC(=O)OCCO1,6.944
CCCC(C)(C)C(CC)(CC)CCC,9.595
CC(C)(C)C1CCCCC1=O,5.938
C[C]1C([N+](=O)[O-])=NON1[O],4.098
CC1CCC(C)(C(=O)O)C1(C)C,7.434
Cc1ccc(CN(C)C)o1,6.15
OCC(CC1CCCCC1)CC1CCCCC1,8.466
COC1CCN(Cc2cc(F)ccc2N)CC1,5.170163
COC(=O)c1c[n+]([O-])ccn1,4.577
OCCC1CCCC2(CC1)OCCO2,8.645
CON=C(C(=O)O)c1cocn1,4.609609
C=CCOc1c(C)cc(C(=O)OCC)cc1C,5.459
CCC(C)S([O])([O])OC,8.928
CCOP1CC=C(C)C1,6.887
CCO[PH](=O)OCC,9.633
CC=C(C)C(=O)OC1CCn2ccc(C=O)c21,5.138
COc1ccc2c(c1)C(O)N=C(O)O2,5.45
NC(C(=O)O)C(O)C(=O)O,7.11
[CH]1[CH]C2=C([CH]C=C1)[CH]C1=C2CC=C1,3.159
CC1CCC2CCCC(C)C2C1,9.339
C[C]1[CH]C2C[CH][C](C)CC2CC1,3.932
CC(C)C(O)C(O)C1CO1,8.128
O=C(Cn1ccnc1)c1ccc(O)c(O)c1,4.313
CC1CCC(NCC(C)(C)CN(C)C)C1,7.497
Cc1cc(C)n(-c2ccc(F)cc2C(N)=O)n1,5.406902
Cc1nnn(N=C(O)c2ccccc2)c1C,4.718
[C]([N]c1ccccc1)[N]c1ccccc1,5.361
C1CC2OCC1O2,9.105
Cc1cc(OCC(=O)O)cc(C)c1C,5.948
CC(=O)c1cc(C)c(C)s1,4.699
CC(=C(C#N)C#N)c1cccc([N+](=O)[O-])c1,4.536
CCC(C)(C)CC(C)(C)CCC(C)C,9.521
COC[P]1([S])OC(C)CCN1C(C)C,7.116
CC(C)=N[N][C](O)CN1CCOCC1,5.589
CCCCCCOc1cc(C)c(O)c(C)c1C,5.347
C=C(CO)C(C)CC(C)(C)C,7.173
CN(C(=O)C(C)(C)C)C1CC2C=CC1C2,6.659
COCC(C)C#N,8.362
CC(C)CCCC(C)C(C)CC(C)C,9.823
CN1C=CN2C=C(S([O])([O])O)C=CC12,4.065
CN(CCO)c1ccc(C(=O)O)c(O)c1,4.991
CC(C)=C(C)C#CC(C)=C(C)C,4.223
CC1=C(C)CC2=C(C1)C(=O)c1ccncc1C2=O,3.146
CC1(C)OC(CCCO)C(CCCO)O1,8.471
N=C(O)CN=C(O)OCc1ccccc1,5.731
CC(C)(C)OC(=O)C=Cc1ccc([N+](=O)[O-])o1,3.84
C(=NCc1ccc2c(c1)OCO2)c1cccnc1,4.104
CC(=O)Oc1cc(=O)oc2cnccc12,4.604
CN(C)[N]C1=C[CH]C=C[CH][CH]1,3.263
C=C1CC2CC3C(=O)OCC3C2(C(=O)OC)C1,6.678
COC1OCCO1,9.475
CCCCCNN(C)C,8.074
O=C1[CH]c2cc(C(=O)c3ccccc3)ccc2[N]1,2.552
N#CC(C#N)=Nc1ccccc1,3.872
CCCC(CC)P(=O)(O)O,8.751
Cc1nc2nnc(C(C)(C)C)nn2c(=O)c1C,3.235
CC1(C)C=Cc2cc3ccccc3cc2C1(C)C,4.452
COc1ccc(C2OCC(C)O2)cc1,5.919
CCCCC(N)CCC(C)N,8.327
CCN1CCCOC1,8.229
CC(C)C(O)CP(=O)(O)CCCN,8.155
Cc1ccc(C=Nc2cccnc2N)cc1,3.655
C=CCC1C2CCC(C2)C1C#Cc1ccccc1,5.312
CC1(O)C(N)C(O)C(O)C1O,7.693
C=CC(C=C(C)C)C(C)CO,6.482
CN=C(O)O[N][CH]C1(C)SCC(C)S1,5.679
CC(C)(C)NC(O)=NCc1ccco1,6.101
[O][N]CCNc1ccccc1,2.8
CC=CC(=O)OCC(C)CC,6.27
NCCCC1CCCC(N)C1,8.378
C#CCN(C)CC1CC=CCC1,6.77
CCOC(C(=O)c1ccccc1)c1ccccc1,4.865
COC(=O)C=CC(O)=Nc1ccccc1OC,3.336
O=Nc1ccc2c(c1)CCCN2CCO,3.271
N=C(O)NCc1ccccc1,5.935
CCCCCCCCn1ncc(N)c1N,6.468146
CC(C)Sc1ccccc1,5.499
C=C1CCCC(C)(C)C1CCCC=O,6.006
O=C1CCCN1c1cccc([N+](=O)[O-])c1,4.125
CC12CCCCCCC1CC(=O)CC2,6.049
CCSCC(C)O,7.2
O=c1cccc2[nH]c3ccccc3nc1-2,2.525
CP1(=O)OCC(O)CO1,8.846
COC(=O)CN1C(=O)CCc2cc(N)ccc21,4.966078
CC(O)=Nc1ccc(C(=O)NC(C)(C)C)cc1,5.159
CCCC1(CC)CCCC1,10.057
CC(C)(C)OOC(=O)C(=O)OOC(C)(C)C,6.095
CCOC(=O)Oc1ccccc1OC,5.951
Cc1ccccc1C(=O)O,5.723
CC(C)(CO)NC(=O)c1cccs1,5.32
OCC1OCCCC1O,8.408
CC1COC(C)SC1,6.936
CCC(C)CCCCC(C)CC(C)CC,9.927
CN(C)CCOC1=NC=NC2=NC=NC21,3.665
COC(=O)c1ccccc1N(C)C(C)=O,5.053
CCOP(=O)(O)c1cc(F)cc(Cl)c1,5.768814
CCCCN[N][C](O)OCC,7.644
CC(=O)Oc1ccc(N=C=S)cc1C(=O)O,4.694
CC(=O)c1ccc(NC(=O)c2ccccc2)cc1,4.58
CC(C)(C)N(CN1CC1(C)C)C(C)(C)C,7.162
CN(C)CCN1C(=O)CCc2cc(N)ccc21,4.966078
CCOCCCNC,8.199
O=C1c2ccccc2C(=O)N1Cc1cccnc1,4.484
CCCC(CC)C1=CC=CC1,5.312
OC(O)C1CCCO1,8.572
CN(CC1CC1)c1ccc(N)c2nonc12,2.98
Cc1ccc(C(=O)O)c(N)c1O,4.378
CC(C)NCCC(O)c1cc2ccccc2o1,5.206
[C]12[C]3[C]4C1C1[C]2C3C41,3.91
CCCC=CC=CCO,5.298
CN(C)C=NNc1ccc([N+](=O)[O-])cc1,3.521
C=C(C)CC(C)(C)CC(C)(C)c1ccccc1,6.528
C[C]1[CH]C(OC(C)=O)C2CC1C2(C)C,3.252
CC(C)C1NCCCO1,7.851
N#Cc1ccccc1N=C(O)C=CC(=O)O,3.701
C=CCOc1c2ccccc2cc2ccccc12,3.464
CC1CC(CO)N=C(O)O1,7.723
CC=CCC(C)(C)C(O)C(NC)C(=O)O,6.697
CCCOC(=O)OCC(C)C,8.833
CC(C)N=C1CCCC1,6.433
CC1(C)OCCC1O,8.463
COc1cc2sc(C)nc2cc1C,5.124
Cc1ccc(-c2nccc3ccccc23)c(C)c1,4.702127
CC(CN)N1CCCC1,7.374
CCC(C)OC(=O)C1CCC1,7.464
CC1=CCCC(C)(C(O)c2ccoc2)C1CO,6.381
CCCC(=NNC(=N)O)C(C)C,5.973
C1CN2CCC1[C]([N][N]C1=N[N]NN1)C2,3.499
CCC(N)CN(C)C1CCN(C)CC1,7.304
COC(=O)c1cc(C(C)=O)ccc1O,5.124
Cc1ccccc1C=Cc1ccc([N+](=O)[O-])cc1,3.521
[C]=CCCCC(=C)C,4.555
Cn1nccc1C(=O)N(CCN)C1CCCC1,5.809631
CC=CC=CC=CCN1C=CCC(C(=N)O)=C1,3.573
CC(N=C=S)c1ccccc1,5.929
CCC(CC)C(C)(C)C(C)C,9.69
CC=CC=CC(O)=NO,4.267
N#CCC1(O)CCCCCC1,8.446
Cc1cc2nnc(-c3ccncc3)nc2c(C)n1,3.655
O=C(CCN1CCCC1)OC1CCCCC1,6.19059
CCN(CC)c1ccc(N)c2cnccc12,3.994631
CC12CC3(C)CC(C)(C1)CC(CO)(C2)C3,8.623
CON=C(C#N)C(O)=NCc1cccnc1,3.543
O=C1C=CC(O)(C#CCO)C=C1,4.675
CCSc1ccc(C)cc1-c1cc(=N)[nH][nH]1,3.976
Oc1cccc2cccc(O)c12,4.555
CC=C(C)C(=O)OC,6.044
CCNc1nnc(-c2ccc(C)c(F)c2)o1,4.255861
CC1CC2CC(C1=O)C2(C)C,6.112
CC(=O)CCC(=O)C1SCCS1,5.238
C1OC1CC(CC1CO1)(CC1CO1)CC1CO1,9.162
CC1CCCC(C(C)(C)C2CCCC(C)C2)C1,9.461
On1cc(C(=S)N2CCOCC2)nn1,4.139
CON1C(=O)C(c2ccccc2)c2ccccc21,5.344
N=C(O)N(Cc1ccccc1)Cc1ccccc1,5.766
CCCOCOCCOCC,9.255
N=C(O)CCN1[CH]c2ccccc2[N]C=C1,3.135
CC1(C)CCC(CO)C1O,8.471
N[C]1N=C[N]c2c1ncn2CCCNO,5.437
c1cc2c(s1)CCCC2,5.845
N=C(O)N1CC[CH][N]1,5.527
CN=C(O)Oc1cccc(C)c1,6.231
O=C1COC(c2ccc3ccccc3c2)O1,4.822
CCCC(O)C(C)(O)O,9.086
C=Cc1ccc2c(c1)Cc1ccccc1C2,4.999
CCCSSCC(C)C,5.815
CC(C)CCCOCC(C)C,9.159
CCCOC(CC)OC(C)O,9.135
Cc1cc(C)c2[nH]c3c(C)c(C)cc(C)c3c2c1,4.667
Cc1cnn(-c2c(C)cc(O)cc2C)c1,6.024601
CCC=C(C)C(C)C,7.08
CCCCC1SCCS1,6.144
C1CC1C1CC1,9.679
CC(C)=C(C)c1ccc2cc(C)ccc2c1,4.74
Cc1cc(NCC2CCCC2)ccc1N,4.938866
COc1cc([N+](=O)[O-])c2nc(C)ccc2c1,4.03
[CH]1C=CC2C=CC=CC2C2C=CC=C[C]12,3.84
CN(C)CCCNCc1cccn1C,6.438
O=c1nc(O)ccn1C1CCCCO1,5.257
CC(C)(C#N)C#N,8.86
NCCSCC(O)C(=O)O,6.569
Cc1cc(C)c2c(c1)C(N(C)C)CCC2,5.687
Cc1cccnc1C,6.242
CC(C)C(C)(C)C1(C)OC1C,8.988
CN(C)OCC(C)(C)C,8.221
CCOCCOCCCO,8.931
C#CCOc1ccc2c(c1)OC(C)(C)C=C2,4.702
