SMILES,DFT_gap
CCCCCCCCC(C)COCC(C)C(C)CC,9.013231
CC1CCCC(C)C2CCC(CC2C)C1C,9.016768
CCCCCCCC1CCC1CCCCC(O)C(C)CC,9.021938
CCCCCC1(C2CC3CCC32)CCCC1CCC,9.024387
CCCCCCCCC1(CC)CC1C(C)C,9.029285
CCCC1CC1CC1CCCCCC1,9.030646
CCOCCCC(C)CCCCC(C)C,9.035272
CCOCCCC(C)CCCCCCCCCC(C)CC,9.041258
CCCCCCCC(CC)COCCCCCC(C)CCC,9.041531
CCCCCCCC(C)C(CCCCC)CC(C)C,9.04915
CCCCCCCCCC1(C)CC1CCCCCCCC,9.060306
CCCOCC(C)(CCC)C(C)F,9.070919
COC(C)CCCC(F)C(C)C,9.071735
CCCCCCCCCC1C(CC)C1CCC,9.080715
CC(C)C1C(C)CCCCCCC1C,9.095681
CCCCCCC1CCCCC2C(CCC)CC2C1C,9.107382
CCCCC(C)C1C(CC)C1CC,9.109287
CC(CO)CC(F)C(C)C(C)C,9.116906
CCCCC1CC(C)C2C(CCC)C12,9.120988
CC(C)CCC(C)CC1CC1(C)C,9.13541
CCCCCCCCC1C2CCC(C)C12,9.136226
CCCCCC1CCCCCCCC(CC(C)C)C1,9.137859
CCCCCCCC(C)CCC1C(C)C1CCC,9.140036
CCCC1CCCCC(CC)CCC1CC,9.143029
CCC1CC1CCC(C)C(C)(C)CC,9.157723
CCC(C)CCCC1CCCCCCC(CC)CC1CC,9.160444
CC(C)CC(C)CC1C(C)C1C,9.170785
CC1CCCC(CC2CC2C)CCC1C,9.171601
CCC1CCCCC1C1CCCCCC(C(C)C)CCC1,9.175955
CC(C)C1CCC2CCCCCCC(C)C21,9.177043
CCCCCCC(C)(CC)CCCCC1CC1C,9.178132
CC1CCCCCCCCCC1C1CC1C,9.180309
CCCCCCCC1CCCCC1CCC(C)C(C)CC,9.181669
CCC1CCCC(C)C(C(C)C)CCC1CC,9.18303
CCCC1CCCCC2CCCCCC(CC2)C1CC,9.193098
CCCC1CCCC2CCC2CC1C(C)C,9.195547
CCCC1CC(C)CCCCCC(C(C)C)C1,9.197452
CCC1CCC(CCCCC2CCCCC2C)CC1C,9.197452
CC1CC1CCCCCCC(C)(C)C,9.208881
CCCCCCC1CC1C1CC1CCCC,9.210241
CC1CCCC(C2CC2)CC(C(C)C)CC1,9.215684
CCCCCCCCCC1C(C)C1C(CCC)CCC,9.224391
CCC1CCCCCCC(C2CCCCC2CC)C1,9.224391
CCCC(C)CCC1C(C)C1CCC,9.224663
CCCCCCC(C)CC1C(C)C1CC,9.229017
CCCC(CCCCCC1CC1C)CC1CCCC1CC,9.239357
CCCCCC1CCCCCCC(C(CC)CCCC)CC1,9.241262
CCCCCCC1CC(C)C1C(C)C(C)C,9.242895
CCCCCCCCCC1C(CCCC)C1CCCC,9.245072
CC1CCCCCC2CCCC(CCCC2C)CC1,9.245072
CCC1CC(C)C2CCCCCC(C)C12,9.245888
CC1CC1CCCC1CCCCCC1,9.246705
CCCCCCC1CC1CCCC1CCCC(CC)CC1,9.249154
CCCCCC(C)C1CCCCCCC(C)C(C)C1,9.255956
CCC1CCCCCCCCCC(C)(C)C(C)CC1,9.256229
CCCCCCCCCCCCC1C(C)C1CCC,9.259222
CCCCCCC(C)CCC1C(C)C1C,9.264936
CCCCCCC1CC1C(CC)C(C)C,9.266297
CC1CCCCCC(CC(C)C2CCC2C)CC1,9.267657
CC1CCCC(C2CCCC2C)C1C,9.269834
CCCCCCC(C)CC1C(C)C1F,9.270923
CC1CCCCCCC1CC1CCCCC1C,9.275276
CC(C)CC1CC1CCCC1CCCCCC(C)C1,9.276365
CCC1CCCC(C)CCCC1CCCCCCC(C)C,9.277726
CC1CCCC(CCCCCCCCC2CC2C)CC1,9.282351
CCCCCC1C(C)CCCC2CC1C2C,9.285889
CCCCC1CC(C(CCC)C(CC)CCCC)C1,9.286705
CCCCC1CCC12CCCCCC2,9.292692
CCCCCCCC1CC(CCCCCC)C(C)CC1C,9.297318
CCCCCCC1CCCCC1CCCC(C)CC,9.299767
CCCC1CCC(C)CC1C(C)(C)CC,9.300855
CCC(C)C1CCC(C)CC1C(C)C,9.301127
CCCCCCCC(C)C1(C)CC1F,9.307658
CC1CCCCCCCCCCCCC(C)(C)C1,9.308747
CCCCCC1CCCCCC(C)C(CCC)CC1,9.309563
CC(C)CC1CCC1C1CCC(F)CC1,9.31174
CCCCCCCCC1CC1C1CCC1C,9.312284
CCCCCCC1CCCC2CCC(C1)C2,9.312556
CCCCC1CCC2CCC1CC(C)C2,9.314189
CCC1CCCCCC(C)CCCCC1CC(C)C,9.315549
CCCCCC1C(CCC)CC1(C)CC,9.316094
CCCCCCCCCC1CCCCCCC(C)C1C,9.317726
CCCC(C)CC1CCCCCC(C)C(C)CC1,9.317998
CCCC(C)CC1C(C)CC1CCC,9.318543
CCCCCC1CCCCC(CCC)CC(C)CCC1,9.326434
CCC1C(C)CCCCCC(C)C1CC,9.330788
CCCCCCCCC1C(CC)C1CCC,9.332148
CCCCCCCCC1CC(C)C1CCC,9.332148
CCCCCCC(C1CC1)C(CC)C(C)CCC,9.332965
CC1CCC(CCCCC2CC2C)C1,9.337046
CCCCCCC1CC1CC(C)C(C)C,9.34004
CCC12CCCC(C)C1C(C)CCC2,9.34521
CCC1CCCCCC1CC1CCCCCCCCCC1,9.349564
CCCC1CC1CCCCC1(C)CC1,9.351741
CCCCCCCCC(CCC)C(C)C1CC1CCCCC,9.355278
CCCCCCCC1C(CC)CC1CCC,9.356094
CCCCCCCC1CCCCCCC(C)C1CC,9.356911
