SMILES,DFT_gap
CCCOCC1CCC(CCCCCCCCC(C)C)C1,9.018129
CCCCC(C)CC1(CC)CC1C,9.036633
CCCCCCCC(F)CCCOC(C)C,9.050782
CCCC1CC1C1C(C)C1CC,9.073096
CCCCCCCC1CC1CC(CCC)C(C)CC,9.085613
CC1CCCCCC(C)(CC(C)(C)C)CC1,9.12126
COCC(C)CCCCCCC(C)C,9.123437
CC1CCCC(C)C(C)CCC1C,9.133233
CCC1CC1C(C)CC1CCCC1C,9.138675
CC1CCCCCCCCCCCCCC(C2CC2)C1,9.153642
CCCCCCC(CC)C1C(C)C1CC,9.166431
CCC(C)CC(C)CC1CC1C(CC)CC,9.172962
CC1CC2CCCCCCC1C1CCCCCC1CC2,9.177588
CCCCCC1CC(C)CCCC1(CCC)CCC,9.214595
CC(C)CCCCCCCC1CC1(C)C,9.220854
CC1CCCC(CC2CC2C)C1,9.229289
CCCC12CCCCCCC1C(CC)C2,9.23065
CCC(CCCCC(C)C)CC1C(C)C1CC,9.233915
CC1CCCCC(C)C2CCC(C(C)C)CCC2C1,9.235548
CCC(C)CCCCCCC1CCCCC1C,9.241534
CCCCCCCCC1CCCCCCC(C2CC2)C1,9.241806
CCCCCCC1C(C)C1CCCCC(C)C,9.242079
CCCCC1CC(C)CCCC(C)C(CC)C1,9.243439
CCCCC1C2CCCC1CC(CC)C2,9.246977
CC(C)C1CC1C1CCCC1,9.254324
CC(C)CCCC1CC1C1CCC1C,9.257861
CCCCC.CCCCCCC(CC(C)C)CC(C)C,9.260582
CCCCCCCCC1C(CCCC)CC1CCCC,9.261127
CCCCCCCCC1C(C)CC1CCCC,9.262487
CCCC1CCCCC1C1CCCCC(C)CC1CCC,9.26412
CCCCCCCC1CC1CCC(C)CC(C)CC,9.277453
CCCCC(C)CC1CCCC(CC(CC)CC)C1,9.290787
CCCCCCCCC1CCCCCCCCC1CCC,9.293508
CCCCCCCC(CCC)CC1(CC)CCCCC1,9.303848
CC1CCCCCC(CC2CCCC(C)C2)CCC1,9.305481
CC1CCCCCCC2CCC(CCCCC2C)CCC1,9.30793
CC1CCCCC(CCC2CCC(C)C2)CCC1,9.309291
CCCCCCCCCC1C(C)CCCCCCC1CCC,9.309835
CC(C)C1C(C)CCCC1(C)C,9.317454
CCCC1CCC(C)CCCCC1C,9.319903
CCCCCCC1CC1C(C)CC(C)CC,9.320447
CC1CCC(C)C2CCCCCCCCCC12,9.323713
CCCCCCCCCCCCCCCCC1CC(C)C1(C)C,9.325618
CC1CCCCCCCCCCCCCCC1C,9.326162
CCC1CCC(C)C2C(C)CCCCCC12,9.33623
CCC1CCC(C)C(CC)C1CC,9.336774
CC1CCCCCC(CC2CC(C)C2C)CCC1,9.337318
CCC1CCCCCCCCCCC1CC,9.343577
CCCCC1CCCCC(C)CCC1,9.343849
CCCCCCCCCC1CCC(CCCCC)CC1C,9.344938
CCCCCCC1CC1C1CCCC(C)C1,9.34657
CCCC(C)CCC(CCC)CCCC1CC1C,9.349019
CCCCCC1CCCCCCCCCC(C)CCCC1,9.349564
CCCCCCC1CCC(CCCCC)CC1C,9.35038
CCCCCCC1C2CCCC2CCC1(C)C,9.350652
CC1CCCCCCCC(C)CC(C(C)C)C1,9.350924
CCCCCC1CC1C(C)CC(C)CCCC,9.353101
CCCCCCCCCCCCC(C)CC1CC1CC,9.35419
CC(C)CCCCCCCC1CC1C(C)C(C)C,9.356366
CCCCCCCCCC1CC1CCCC(CC)CC,9.357183
CC1CCCCCCCCC2CCCCC(C)C2C1,9.357455
CC1CCCC2CCCCCCCCCC1CC2,9.360176
CCC1CCCCCCC1CC(C)(C)C(C)C,9.360448
CCC1CCCCC2C(C)CCCCC2CC1CC,9.362625
CC(C)C1CCC1CC(C)(C)C,9.363714
CCCC(C)(CC)CC(C)C(C)(C)CC,9.369428
CCC1CCCCCCC(C)C1CC,9.372965
CCCCC1CCCCCC12CCCCCC2,9.374054
CCCCCCCCCCCC1C(C)C1C,9.376775
CCCCCCCC1CCC2CCCC(CC)C2C1,9.37868
CC1CCCCCC(C)CCC(C)CC(C)CCC1,9.381945
CCCCCC1CCCCC(C)CC(CCCC)C1,9.384122
CC1CCCC(C2CCCC2)C1C,9.38766
CC(C)CCCC1CCC(C)CCCCCC1C,9.387932
CC(CCC1CC1)CC1CCCC1C,9.38902
CC(C)CCCC1CCCCCCCC1C,9.395551
CCCCCC1CC1CCCCCCCC(C)CC,9.396639
CCCCCCC1CCCC(C)C(CCC)CC1,9.398816
CC1CCCCCCC1CC1CCCC1C,9.400177
CCC1CC1C(C)C(C)C,9.400993
CCCC1CC1CCC(C)CC,9.404259
CCCCCCCCCC1CC(C)C1CC,9.407796
CCCCCCCC1CCCCC1(CCCC)CCCC,9.412422
CCCCC1CCCCCCCC1(CC)CCC,9.412694
CC(C)CCCCC1CC1C,9.414599
CCCC1CCCCCCCC(CC)C1CCC,9.415687
CCCC1CCCCC(CC)CCC1,9.417048
CCCC1CCCCCCCC(CCC)C1CCC,9.417592
CCCC1CCCCCCCC1C1CCC1,9.420585
CCC1CC1C(C)CCCCC(C)C,9.423579
CC(C)CC(C)C1CC(C)C1C,9.423579
CCCCCCC1CCC(C)CCCCC(C)C1,9.427388
CCCCCCCCCC1CCC(C)CC1C,9.429293
CCCCCCC1CCCC(C)CCCC(C)C1,9.43664
CCCCC1CCCCCCCC1(CC)CC,9.439905
CCCCC1CCC(C)CC1C(C)C,9.44181
CCC1CCC(C)CCCCC1C,9.442082
CC(C)CCCCCCCC1(C)CC1,9.442899
CCCCCC(C)(CC)CC(C)CCCC,9.443715
CCCCCCCCCC1C(C)CC(CCCC)CC1CCC,9.445076
CCC1C2CCCCCCCC1C(C)CC2,9.446436
CCCC1CCCCCCCC1CCC,9.448885
CCCCCCC1CC(C)CCCCCC(C)C1,9.448885
CCCC1CC(C)(C)C1CCF,9.449429
CCCCCCC1CC1C(CC)CCC,9.450246
CCCC1CCCC(C)C1CC(C)C,9.45079
CCCCC1CCCC(C)C1C(C)C(C)CC,9.45079
CCCCCC(C)(CCC)CC(C)CC,9.451606
CC1CCCC(C)C(C)CC1,9.454055
CC1CCCCCCC1C1CCCCC1C,9.455688
CCCCCCC1CCCCCCC(CC(C)C)C1,9.456776
CCC1C2CCCCCCC1C(C)CC2,9.461675
CCCCCCCCCC1CCCCC(CC)C1CC,9.462763
CCCC1CC(C)C(C)CC1CC,9.463035
CCCC(C)CC(C)CC(C)(CCC)CCC,9.463851
CCCCCCCCCCCC1CC1C(C)CC,9.46494
CC1CCCCCC2CCCCCCCC2CCC1,9.467389
CCC(C)(CCC(C)C)CC(C)C(C)C,9.471199
CCCCCCC1CCC(C)CC1CCCC,9.474192
CCCC1CCCCC(CC)CCCC1C,9.475552
CCCCCCCCCC1CC1CCCCCCC,9.475824
CCCCCC1CCC(C)CC1CCCC,9.476097
CCCCCC(C)C1CCCC(CCCC)C1CCC,9.476913
CC(C)CCCCC1CC1CCCCF,9.476913
CCCCCC1CCCCCCCC1(C)C,9.480995
CCCC(C)CCCC(C)(C)CC(C)CCC,9.483444
CCCCCCCC(C)C1CCCCC1C,9.485893
CCCCCCCCCC1CC1CCCC,9.486165
CCCC1CCCCCC(C)CCC1,9.489158
CCC1CCCCC(CCCCCCCCCC(C)C)C1,9.489158
CCCC(CC)CC(CC)(CCC)CCC,9.492151
CCCCCCCC(CC)C(CC)(CCC)CCC,9.492151
CCCCCCCCCC1CC1CCCCC,9.495417
CCCCCCC1C(C)CCC(F)C1CC,9.495417
CCCCCC1CCC(C)CC1CC,9.495417
CC1CCCCCCCCCCCCCC(C)C(C)C1,9.495689
CC(C)CCCCC(C)C1CCC1C,9.49841
CCCCC1CCCCCC2CCC(C)C12,9.503308
