SMILES,DFT_gap
FC(F)(F)F,16.912155
C,13.734136
FC(F)(F)C(F)(F)F,13.065552
FC(F)(F)CC(F)(F)F,12.570032
F,12.183086
CCC(F)(F)F,12.148256
CC,12.045124
CF,11.955871
FCCC(F)(F)F,11.813828
CC(F)F,11.788521
FCC(F)(F)F,11.763487
FC(F)(F)CCC,11.719132
CCCC(F)(F)F,11.719132
CC(F)C(F)(F)F,11.704438
CC(C)C(F)(F)F,11.696274
CC(CF)C(F)(F)F,11.680764
CCF,11.506067
CC.CC,11.416269
CCC(F)C(F)(F)F,11.387697
CCC,11.377629
CC(C)(C)C(F)(F)F,11.374908
CCC(C)C(F)(F)F,11.367833
CC(C(F)(F)F)CC,11.362663
FC(F)(F)CCCC,11.346064
CCCCC(F)(F)F,11.346064
FC(F)(F)C1C2CC1C2,11.290552
FCCCC(F)(F)F,11.266062
FC(CCC)C(F)(F)F,11.230687
CCCC(F)C(F)(F)F,11.230687
CC(C)(CF)C(F)(F)F,11.229327
CCC(C(F)(F)F)CC,11.225789
CCC(CF)C(F)(F)F,11.210551
CC(C)CC(F)(F)F,11.20266
CC(C)C(F)C(F)(F)F,11.200483
FC(C(F)(F)F)CC,11.194496
FC(F)(F)C12CC(C1)C2,11.180891
CCCC,11.172455
FCC(C(F)(F)F)CC,11.16538
CCC(C)(F)C(F)(F)F,11.16157
FCC(CF)C(F)(F)F,11.15504
CC(C(F)(F)F)CCC,11.144155
CCCC(C(F)(F)F)C,11.144155
CCCC(C)C(F)(F)F,11.123202
CC(CCC)C(F)(F)F,11.123202
FC(C(F)(F)F)CCC,11.115855
CC(C)F,11.094358
FC(F)(F)CCCCC,11.083474
CCCCCC(F)(F)F,11.083474
CCCC(F)F,11.077487
CC(C)C(C)C(F)(F)F,11.055446
C1C2CC1C2,11.036126
CCC(C)(C)C(F)(F)F,11.023881
CCCF,11.017894
CC(C)C(F)F,10.987145
FC(F)(F)C2CCCC2,10.984969
FC(F)(F)C1CCCC1,10.984969
CCCCC,10.964832
CC(CF)CC(F)(F)F,10.944968
FCCCCC(F)(F)F,10.937893
CC(CC(F)(F)F)CC,10.932178
CC(CCF)C(F)(F)F,10.929457
CC(C)CCC(F)(F)F,10.925648
