SMILES,des_gap,pred_gap,Err_pred_des
[C]C1(C)CCCOCC1CCC,7.4789,6.828458,0.08697029879575532
CSc1ccncc1SON(C)O,6.2405,5.2870035,0.15279168061038714
CC1CC2CCCC2C1C,9.3928,9.698127,0.032506472288105305
OOC1(O)COOOC(O)SOCCO1,9.9168,7.4180336,0.25197305583923085
CCC1C=NNCCCC=CC=CC=C1C,8.2477,3.5640182,0.5678773173719075
CCCN1C(OC)=C(C=O)C1CN,9.8542,5.3233485,0.4597888694986626
CCCC(CC)OCC=C(C)C,7.3177,7.033491,0.03883855109617033
c1ccccc2cnccccccc2ccc1,9.352,4.086622,0.5630215741917045
C#CC(O)N1C=CC=CC=CC=CC1,8.4384,4.529123,0.4632723230189069
CSC(C)C#CC(C)S,5.6937,5.9632215,0.04733680207734746
CC1CC(CSSCPOC(=O)O)CC1O,9.0058,6.7688227,0.24839296120467813
O=C1C=CC=CCCNCCCC1,6.0713,4.2717586,0.29640133803864627
COC(=CCCC1C(O)CCCOC1COO)CCC=O,6.0832,6.96915,0.14563881943314913
CSC(CO)P1CCC1O,8.6454,7.897168,0.08654681570721275
NOCC=CCCSCCSCC1OCP1,7.4717,5.614269,0.2485955298319474
COC(O)CCOOC1=CC=COCOCCC1,9.854,5.4342666,0.44852176098739344
C=CCCC12NCCCN1N(O)C2=C,9.854,5.8788633,0.4034033555250901
COC1CC(CCCCCO)O1,7.4596,8.848218,0.1861517995834044
COOC=CCCC1CC2C=C2C=CC=N1,5.5153,4.0887737,0.2586488989870012
