rand,r2,MAE,less20RE_per,Average_RE,total_valid
0,0.4819,1.3347,0.6457,0.2105,1019
1,0.4967,1.3483,0.6586,0.2141,993
2,0.5065,1.3645,0.6107,0.2336,894
3,0.4343,1.3598,0.6409,0.2117,958
4,0.4576,1.4036,0.6295,0.21,1023
5,0.4861,1.3833,0.6574,0.2075,1010
6,0.4568,1.3521,0.6534,0.2064,1053
7,0.4338,1.3744,0.646,0.2106,1017
8,0.4842,1.4069,0.6329,0.2222,1038
9,0.4777,1.3776,0.6446,0.2146,968
10,0.4677,1.3364,0.6296,0.2167,899
11,0.4565,1.3792,0.6226,0.216,1081
12,0.4924,1.4134,0.6225,0.2258,1004
13,0.5566,1.3665,0.6378,0.2397,936
14,0.4957,1.3967,0.6246,0.2189,855
15,0.493,1.3407,0.6299,0.2196,870
16,0.4619,1.3989,0.6502,0.2166,972
17,0.5051,1.3,0.6822,0.2071,1007
18,0.4181,1.3275,0.6609,0.2166,976
19,0.4879,1.4459,0.6145,0.2251,926
20,0.39,1.2906,0.6689,0.1896,1042
21,0.4151,1.3155,0.6548,0.2061,959
22,0.4494,1.3456,0.6597,0.2174,999
23,0.429,1.5185,0.5802,0.2504,948
24,0.3886,1.4217,0.6409,0.2114,1033
25,0.4815,1.3809,0.6281,0.2243,890
26,0.4971,1.4178,0.6581,0.2193,977
27,0.3889,1.4295,0.666,0.1974,1078
28,0.4169,1.411,0.6459,0.2071,946
29,0.338,1.3208,0.6766,0.1887,1042
30,0.5233,1.3307,0.6539,0.2039,942
31,0.5644,1.4055,0.6054,0.232,887
32,0.5016,1.3494,0.6239,0.2287,952
33,0.4757,1.3888,0.6398,0.2087,969
34,0.5132,1.4423,0.6374,0.2233,1037
35,0.4948,1.4097,0.6407,0.2185,988
36,0.5433,1.3729,0.6578,0.2053,941
37,0.4595,1.3727,0.6466,0.2078,1064
38,0.3689,1.3848,0.6288,0.1964,1029
39,0.3741,1.3956,0.6528,0.1996,1054
40,0.4863,1.4081,0.6214,0.2185,1001
41,0.494,1.3784,0.5937,0.2399,827
42,0.4752,1.4405,0.6044,0.2297,915
43,0.4564,1.4048,0.6422,0.2148,1009
44,0.5094,1.3769,0.6385,0.2171,982
45,0.5361,1.4295,0.6077,0.223,938
46,0.5514,1.3925,0.6016,0.2592,851
47,0.4891,1.343,0.6566,0.2103,958
48,0.515,1.4033,0.6308,0.2347,929
49,0.3902,1.3693,0.6526,0.2,1042
50,0.3821,1.4907,0.5936,0.2176,999
51,0.4952,1.3283,0.657,0.2255,895
52,0.4264,1.3905,0.6465,0.2226,993
53,0.463,1.2849,0.6598,0.2,1017
54,0.4861,1.3941,0.6422,0.2208,981
55,0.4629,1.357,0.6407,0.2029,924
56,0.441,1.4334,0.6589,0.208,1035
57,0.4755,1.3485,0.642,0.2147,1014
58,0.4543,1.4084,0.6514,0.2133,918
59,0.4204,1.385,0.6419,0.2112,1022
60,0.452,1.4036,0.6411,0.2027,1028
61,0.4693,1.382,0.6373,0.2045,932
62,0.4299,1.4431,0.6364,0.2062,1001
63,0.4094,1.4243,0.6491,0.2044,1026
64,0.4685,1.4221,0.5966,0.2369,833
65,0.5363,1.382,0.6401,0.2331,892
66,0.4835,1.3539,0.6113,0.2173,885
67,0.5008,1.4656,0.6183,0.2456,964
68,0.4717,1.3865,0.6178,0.2237,942
