SMILES,des_gap,pred_gap,Err_pred_des
N#CC(=O)OCN1C2=CSC1=CC2,5.121,5.120219,0.000152464235138639
C=C(OCOC(OC)OCCCO)C(=O)OC,6.3076,6.3061504,0.000229812226303616
CCCOCC1(CO)CC(CC)C1C,8.827,8.821781,0.000591236156421699
CCC1NC(C)CC2CCCC2N1,7.41,7.4150796,0.000685505217064389
CCCCCOCCC(C)CO,7.938,7.9438796,0.000740690896900968
CC(O)CC(C)CCCC(O)CCO,8.006,8.013891,0.00098566326414854
CCCC1CCCCCCCC(CC)CCC1,9.603,9.612919,0.00103289115482306
CCCCC(=O)C12C=CN=C(C)CC1CCC2,5.072,5.07793,0.00116915883326003
CCCCCCC1=CC=C(C(=O)OC)C(O)=C(C)CC1,6.044,6.0343084,0.00160350206275393
CC(CCN)C(C)CCCC1CCC1C,7.714,7.7272415,0.00171655640566254
Cc1cccccccc(C2CCCC2)c1,5.325,5.315415,0.00180001773744685
CC=C(CCCCCCCC)CCCN=O,5.486,5.4961553,0.00185112322154729
CCC(CC(O)COC(=O)CC1(COC)CO1)NO,7.051,7.064099,0.00185772727151538
CCC(CC)C(CN)(CCO)C(O)O,8.544,8.518476,0.00298741426360747
CC1CC(CCCCCCN(C)C)CC1O,8.041,8.067389,0.00328174786045244
C(CCCC1CCCC1)CCC1CCCC1,9.753,9.720892,0.00329212011538518
CCC1CCOC1(C)CC1CCCC1,8.142,8.171451,0.00361712293407022
CCCCC(CCC)CCC(CC)CO,8.958,8.991222,0.00370868291937896
CCCCCOOCC(O)CCCC(CC)OCCC(=O)O,7.742,7.7776127,0.00459993362919486
S=c1ccccccc2sc1=CSC=2,3.279,3.2637508,0.00465056677350329
CCCCC1CCC(CC(C)O)CC1,9.037,8.992427,0.00493229254692739
OC1=CC=NN=CN=C2CCCCC2=CC=C1,5.336,5.308265,0.00519767443815634
C=CCCC1(CC)CC(CC)C1,7.611,7.565163,0.00602244967434441
CCCCCCC(CCCC)CC(O)CC,8.893,8.951569,0.00658592190662592
CCCCCCCCC(OC)C(CC)OC,8.653,8.594607,0.0067482545694616
CCC(C)COC(CCCO)C(=O)O,7.187,7.138063,0.00680910617100677
CCCC1CCCCCCCCC(CC)C1,9.753,9.680288,0.007455314793465
CC(C)=NNc1cnc(C)[nH]1,4.74,4.7022767,0.00795850069713999
CCCCCCCCC1CC(CC)CCC1O,8.653,8.579916,0.00844608801962204
CCOCOCCC1CC(COC)O1,8.558,8.631862,0.00863071824100761
CCN1C2CCCCC2=CC2OC21,6.142,6.086936,0.00896515841594318
CCC=CCC=C(C)C=COO,4.776,4.7330155,0.00900009688819868
C=CCCCC1=CCC1(C)CO,5.301,5.3489647,0.00904823451464049
CCCCC(C)C(C)(O)C(C)O,8.523,8.600829,0.00913165838914513
CNC#CC(COC(C)C=O)SC=O,6.272,6.3299017,0.00923177539085851
CC(C)CCC1CCC(C(O)CO)S1,7.078,7.0112514,0.00943042532001121
CCCCCCOCCC1CC(CC)C1,8.833,8.91847,0.0096762575218419
CCCNCCCC1CCCCCC(CC)CC1,7.87,7.9483624,0.0099570966281915
CCCCCC1CCOCCCC1CCOC,8.773,8.680073,0.0105924103016268
O=C(O)C1CCCCC2CC2C1,7.355,7.433379,0.0106565837224756
CC1=C2CCCCCC2=C1N,5.135,5.191354,0.0109744494474387
CC1CC(CCCNOCCCCO)C1,7.989,7.8912745,0.0122325131794376
C=CCCC(C)OCCCCCC(C)OC,7.317,7.2260723,0.0124269083775636
COC1CCC(C)C(CC(C)=N)CC1,7.143,7.051363,0.0128289246348862
CCCCC(NCCC(C)CCC)OC,8.158,8.052206,0.0129681246103565
CCCCCCC(N)C(CC)OO,8.305,8.413156,0.0130229446989883
CCOC1COCCC(C)CCCCN1C,7.347,7.443009,0.013067769115111
CCCC1(CCCCO)CCC(C)CC1C,8.566,8.453859,0.0130913694578996
COCCCC(O)C1CCC(C)C1,9.078,8.958303,0.0131853435186069
NC1CCCC(C=S)=CC(O)S1,4.8953,4.960411,0.0133007316767806
CCCONCC1COOC(=O)CC(CC)C1,7.154,7.254005,0.0139788866776276
C=CCCCCC(CC)COCCCCC,6.808,6.7100983,0.0143803956225672
CCCC1C(C)C1(O)C=O,7.611,7.498638,0.0147630859182536
CCCC1(C)CCC1CCCC(C)C,8.966,9.099146,0.0148500880305852
CCC1CC1CCC(C)=NCN=N,5.532,5.4487476,0.0150492344743862
CCCCC1=CC=COC(C)OC(CCC)C1,6.9688,7.074143,0.0151163662168301
CCCCN1C(C)C(CC(C)(C)C)C1O,8.142,8.018413,0.015178999014142
COCC(C)(C)CC1CCC1C,7.87,7.990696,0.0153362075437281
CCCC=C1CCC1OCCCCCCC,6.498,6.5993733,0.0156006987698814
CCCCCC(C)C1CC1C,9.445,9.595028,0.0158843751809406
CCCC=C1C=CC(C)CCC1OC,5.026,5.106289,0.0159747134723656
CCCCCCCC1(C)CC(CC)CC1CC,9.198,9.347103,0.0162103847463018
COCC(OC)C(C)(C)C(C)OC,8.378,8.514265,0.016264628840392
CCCC(C)(CC1=CCCCC1)OCC,6.15,6.250188,0.0162907111935499
C=CCC(C)CCC1CCCC1C,6.612,6.719943,0.0163253246475838
CCCC1CCCCC(CCCN)CN1,7.802,7.9358783,0.0171594817771022
CC(=N)N1CCC(C)CCC(C)(C)C1,6.825,6.9434204,0.0173509758470696
CCC1CC2CC(C1)C2CCCOC,9.342,9.17664,0.0177007539194214
CCCCC1NCCC(C)(C=O)N1O,6.332,6.219488,0.0177687707010583
Cc1ccccc1C(C)CCOO,6.1008,6.209284,0.0177819021661671
CC(C)CCCCC(C)(O)CCCCN,7.802,7.943495,0.018135708376433
C=C1CCCCC2C(C)CC2C1,7.69,7.8318663,0.0184481488092668
COc1ccc(N)c2c1C(N)C2,4.716,4.628412,0.0185725678823276
C.COC1CSCCCCCCCC1C,7.154,7.2868743,0.018573426653761
C=CC(=O)OOCC(C)=NOC,4.645,4.7326694,0.0188739189418962
CC(C)CC=CC(=O)CC(N)C(C)S,4.844,4.9359407,0.0189803349489421
COCC(C)=C(C)C=NCCCC(C)CO,6.253,6.133076,0.0191786037184573
CCCCCC(O)C1CCC(C)C1C,8.623,8.794661,0.0199072907616033
C=C1C=C(N)SC=CC=C(CN)S1,3.91,3.9879534,0.0199369372004438
CCCCCSCC(CCN)COO,6.983,7.1225057,0.0199778984427094
CCCC1CCCCCC2CCCCCCC12,9.753,9.950783,0.0202791731650678
CCC1CCC(CCN)C(C)(C)CC1,9.097,8.907902,0.0207868787604687
CCCCCCCC(C)OCCC,7.543,7.3849344,0.0209552664252945
C[SH]1COC(O)C=CC1(C)C,5.929,5.803802,0.0211162062072497
CCCCCCOCC(C)(CC)CCC,8.471,8.650957,0.0212439036175121
COCC(C)(O)COCCCC(C)CCO,9.086,8.891792,0.0213743894603477
C=C(CSC)C1(CC)CC1,5.938,5.810553,0.0214629380459655
CCCCC1(C2CCCCC2)CC1CC,9.078,8.882882,0.0214934877478411
CCCC(CCCO)C(CC(C)OC)OCC(C)CCCCC=O,8.055,7.8818264,0.021498895002255
CCCCCCCCCCCCC(C)O,9.298,9.087279,0.0226630114257708
CCC(=O)C(N)OCC(N)ONCCCOC,6.267,6.409124,0.0226781390701276
CCCCC(CCCC)C(C)CCC,9.785,10.008373,0.0228281308633671
CCCC(=O)C(C)CCC1CC1,6.286,6.4325023,0.0233061199085068
CCCC1CCCCOC(C)=CCCCOC1,7.3335,7.160088,0.0236465449940169
CCCCCCCC(C)C(C)(O)CCC,9.004,9.221691,0.0241771581065968
CCC1CC(C2CC(C)CC(C)C2C)CC1C,8.999,9.218339,0.0243737044526757
CN(C)C1=CC=C2CC1=NC=CC=N2,4.324,4.2175117,0.0246272770813722
CC1CCNC1CC1(C)C=C1,6.335,6.492545,0.0248690020313579
C=C1CCCC(C)CC(C)NCO1,6.267,6.423706,0.025004955271661
CCC1COC2CCC(C)C(C)(C1)C(C)C2,9.078,8.848379,0.0252942129178413
