rand,r2,MAE,less20RE_per,total_valid
0,0.4136,1.6125,0.5251,299
1,0.4344,1.5813,0.5371,283
2,0.349,1.51,0.5574,305
3,0.503,1.4877,0.5871,310
4,0.5829,1.3157,0.646,291
5,0.4396,1.5544,0.5905,337
6,0.4954,1.4382,0.5753,259
7,0.5413,1.5285,0.5536,289
8,0.5038,1.5111,0.5502,289
9,0.4261,1.6895,0.5845,296
10,0.4716,1.5312,0.5562,320
11,0.4622,1.5814,0.5288,312
12,0.5527,1.5381,0.5668,277
13,0.5127,1.4262,0.5791,278
14,0.4982,1.4622,0.5889,270
15,0.4911,1.5666,0.5647,278
16,0.4829,1.5389,0.5412,255
17,0.499,1.3926,0.6203,316
18,0.4434,1.4145,0.646,291
19,0.4448,1.5071,0.55,320
20,0.5068,1.4601,0.571,310
21,0.4694,1.6187,0.5498,291
22,0.4898,1.474,0.6181,309
23,0.5274,1.6129,0.5227,264
24,0.4349,1.4002,0.5929,280
25,0.4796,1.7188,0.4781,274
26,0.4559,1.4807,0.625,280
27,0.4532,1.526,0.5849,318
28,0.4844,1.5497,0.574,331
29,0.522,1.5934,0.5331,272
30,0.4677,1.6003,0.5556,315
31,0.5602,1.5642,0.5365,274
32,0.4074,1.5744,0.5357,280
33,0.4435,1.4958,0.5543,276
34,0.3961,1.421,0.5861,302
35,0.4974,1.4437,0.582,311
36,0.491,1.5274,0.5687,313
37,0.4512,1.6,0.5377,318
38,0.4471,1.4171,0.6021,289
39,0.5257,1.5882,0.4907,269
40,0.4974,1.4985,0.5448,268
41,0.3762,1.4923,0.587,339
42,0.4159,1.7835,0.4843,287
43,0.4833,1.3986,0.6108,316
44,0.5281,1.5007,0.5811,296
45,0.4572,1.5832,0.5584,308
46,0.4613,1.5072,0.5831,295
47,0.4501,1.5176,0.5706,326
48,0.5105,1.484,0.5992,252
49,0.4569,1.4449,0.6026,312
50,0.4948,1.4888,0.5776,303
51,0.3659,1.4574,0.6323,310
52,0.4803,1.5311,0.5263,247
53,0.1916,1.5041,0.6209,306
54,0.4072,1.6259,0.5179,307
55,0.4831,1.4579,0.6221,307
56,0.4773,1.5342,0.5802,293
57,0.4565,1.5187,0.5803,305
58,0.4458,1.4014,0.6189,307
59,0.485,1.5866,0.5693,274
60,0.5021,1.5742,0.5159,252
61,0.5047,1.4648,0.5431,267
62,0.4795,1.5383,0.5286,297
63,0.4251,1.4334,0.5734,286
64,0.4957,1.583,0.5613,310
65,0.4797,1.4039,0.5975,318
66,0.4936,1.3885,0.6182,275
67,0.4323,1.5448,0.5536,289
68,0.5119,1.4686,0.5876,274
69,0.4604,1.3726,0.5927,302
70,0.4709,1.3355,0.6278,309
71,0.4699,1.486,0.5333,270
72,0.4832,1.4643,0.5863,336
73,0.4766,1.4598,0.5784,287
74,0.4683,1.6511,0.4917,240
75,0.5098,1.4014,0.631,271
76,0.3872,1.4712,0.5789,285
77,0.5116,1.6048,0.5428,304
78,0.4782,1.7035,0.5109,276
79,0.5231,1.3387,0.6195,297
80,0.5356,1.4529,0.5973,298
81,0.407,1.4914,0.608,324
82,0.5703,1.3173,0.6486,296
83,0.5407,1.5474,0.5682,264
84,0.4113,1.4991,0.6219,283
85,0.4957,1.445,0.607,313
86,0.503,1.4855,0.5735,272
87,0.3974,1.5704,0.5889,287
88,0.4845,1.6881,0.5457,328
89,0.5142,1.4381,0.5772,246
90,0.4897,1.4322,0.6056,284
91,0.5394,1.4852,0.5876,291
92,0.3572,1.5027,0.5793,309
93,0.527,1.5426,0.5502,269
94,0.4967,1.4375,0.5768,293
95,0.4527,1.5042,0.6068,295
96,0.4787,1.5336,0.5596,302
97,0.4079,1.4622,0.5734,293
98,0.4704,1.5058,0.5415,277
99,0.5207,1.4637,0.547,298
100,0.4904,1.5508,0.5793,290
101,0.3868,1.4411,0.6145,275
102,0.4795,1.4726,0.5804,317
103,0.5419,1.6123,0.4966,290
104,0.5123,1.5454,0.5361,291
105,0.3834,1.4785,0.5429,280
106,0.4533,1.5674,0.5243,288
107,0.4263,1.4566,0.5897,273
