rand,r2,MAE,less20RE_per,Average_RE,total_valid
0,0.4379,1.3823,0.6207,0.3873,232
1,0.406,1.3753,0.6622,2.0864,222
2,0.4284,1.4232,0.584,0.2748,238
3,0.5536,1.3135,0.6695,0.4219,233
4,0.6275,1.3294,0.662,0.5732,216
5,0.2939,1.4336,0.6667,0.2572,237
6,0.5796,1.3198,0.6162,0.5613,185
7,0.5211,1.2564,0.6652,0.2117,221
8,0.5324,1.4251,0.5644,0.3242,225
9,0.5516,1.3761,0.6413,0.2815,223
10,0.5237,1.2806,0.6696,0.2487,227
11,0.5521,1.2973,0.6524,0.9422,187
12,0.6159,1.367,0.6245,0.4258,229
13,0.5479,1.3351,0.6227,0.3322,220
14,0.4877,1.3425,0.6337,0.442,202
15,0.5533,1.4761,0.5682,0.9368,176
16,0.5555,1.3645,0.5729,0.2597,192
17,0.4158,1.2844,0.6591,0.2027,220
18,0.4826,1.2829,0.6493,0.2549,211
19,0.5624,1.2055,0.6789,0.2553,190
20,0.4823,1.351,0.6345,0.2258,238
21,0.5921,1.4459,0.6129,0.8722,217
22,0.5405,1.4783,0.5966,22.9058,233
23,0.5087,1.3538,0.6355,0.5163,214
24,0.5394,1.3159,0.6071,0.4691,196
25,0.554,1.501,0.5938,0.2995,192
26,0.4489,1.3272,0.6314,0.3746,236
27,0.6069,1.3738,0.6056,0.3894,213
28,0.524,1.3538,0.6835,0.3672,218
29,0.6094,1.3534,0.629,0.2797,186
30,0.4782,1.3803,0.6533,0.2662,225
31,0.625,1.2587,0.6593,0.4072,182
32,0.4945,1.3148,0.6291,0.2389,213
33,0.5382,1.4061,0.6421,0.3397,190
34,0.446,1.2833,0.6707,0.2174,249
35,0.4939,1.3505,0.6283,0.2751,226
36,0.5281,1.3592,0.6321,0.3481,212
37,0.5548,1.3004,0.6502,0.2801,203
38,0.5788,1.2301,0.6574,0.864,216
39,0.5639,1.4605,0.5489,1.1469,184
40,0.5973,1.2303,0.6264,0.3403,182
41,0.5847,1.2986,0.6878,0.3208,237
42,0.5116,1.287,0.6995,0.5218,193
43,0.5302,1.2228,0.6725,0.2912,229
44,0.3989,1.4074,0.6486,0.221,222
45,0.5384,1.2277,0.6985,0.207,199
46,0.5233,1.4154,0.5787,0.2172,216
47,0.5383,1.3666,0.607,0.5044,229
48,0.5094,1.3399,0.6444,0.3217,225
49,0.5377,1.407,0.6387,0.2983,191
50,0.4622,1.4189,0.5923,0.2664,233
51,0.4762,1.313,0.6642,0.2046,274
52,0.5645,1.3265,0.6066,0.3757,183
53,0.2407,1.3455,0.6797,0.2024,256
54,0.6303,1.2773,0.6518,0.251,224
55,0.4793,1.3319,0.6286,0.2145,210
56,0.5354,1.4004,0.6388,0.3146,227
57,0.5144,1.3403,0.6837,0.8078,215
58,0.4362,1.3524,0.6298,0.6858,208
59,0.5589,1.3908,0.6291,0.8395,213
60,0.6447,1.2753,0.6415,0.3996,159
61,0.5003,1.3226,0.6077,0.9684,181
62,0.5636,1.4329,0.5902,0.3777,205
63,0.535,1.2927,0.6304,0.2786,184
64,0.5542,1.3594,0.6653,1.2412,242
65,0.4927,1.3416,0.6547,0.2728,223
66,0.427,1.545,0.5591,0.3984,220
67,0.5529,1.3846,0.6039,0.2926,207
68,0.5417,1.3587,0.6321,0.3546,193
69,0.4161,1.3692,0.6494,0.2714,231
70,0.4844,1.2639,0.6556,0.3415,241
71,0.5978,1.2595,0.6484,0.2561,182
72,0.6245,1.2657,0.6598,0.2528,244
73,0.5374,1.4392,0.5678,0.4334,199
74,0.5333,1.5003,0.5885,0.3056,226
75,0.5776,1.2663,0.6325,0.4086,234
76,0.5381,1.307,0.6889,0.2568,225
77,0.5718,1.3581,0.6742,0.3513,221
78,0.5439,1.3824,0.6919,0.2663,185
79,0.5593,1.3119,0.6515,1.8811,198
80,0.56,1.3155,0.6167,0.5158,240
81,0.4318,1.3497,0.6449,0.2712,245
82,0.593,1.2076,0.674,0.231,227
83,0.6603,1.4385,0.5652,1.3942,207
84,0.4707,1.3525,0.6507,5.604,229
85,0.5164,1.2257,0.6976,0.2744,205
86,0.5092,1.5153,0.5661,0.587,189
87,0.4651,1.3918,0.6522,0.3774,230
88,0.4648,1.429,0.6526,0.3405,190
89,0.6204,1.3834,0.5838,0.6394,173
90,0.5238,1.2631,0.678,0.3274,205
91,0.5684,1.3226,0.6065,0.2601,216
92,0.5135,1.3243,0.655,0.3542,229
93,0.5565,1.4105,0.5816,0.5177,196
94,0.5337,1.3901,0.5874,0.472,206
95,0.451,1.4615,0.6496,0.5104,234
96,0.521,1.3605,0.6059,1.6808,203
97,0.5346,1.2997,0.6471,0.2983,204
98,0.587,1.2598,0.6418,0.4047,201
99,0.4874,1.4231,0.5659,1.0504,182
