SMILES,des_gap,pred_gap,Err_pred_des
CCC1=CC=CC=CC=CC=C2C=CC=CN21,2.2,2.367871,0.07630502093922
S=C1C=CC=CSC=NC=CS1,2.4193,2.1776614,0.09987954411821803
NSCC=CS1=CC=CC=C1SCC#[SH],2.4193,2.4464207,0.011210130845973745
[CH]C1SC=CC2=CC2=CN=CC=C1C,2.7196,2.2816677,0.16102819923864314
C=C1C=c2ccc3ccc-3sc2=C1,2.9464,2.42344,0.17749118261158617
O=CC1C=CC=CC=NC=CC=CN=CC=C1,3.0604,2.4943101,0.18497250666261233
N=NCC1=C=CC=CC=CC1=N,1.962,2.4605603,0.2541082170274523
Nc1ccn2c1C=CC=CC=CC=CC=C2,2.5288,2.1772447,0.1390206171945091
OOc1cc2cccccccccnc1-2,3.469,2.4472406,0.29454004293767816
CON1C=NC=C2C=CC(=N)C=C2CC1,2.7472,2.4623866,0.10367406518499585
C=C1C=CC(C#N)=CC=C=C=CC=NN1,1.8695,2.2419078,0.1992018373932677
O=C1C=CN=CC=C(O)N=NN=NC=C1,3.1127,2.2095418,0.29015266564784925
O=C[C]1CC2=C=CC=CC=C2C=C2C=CC2=N1,1.8495,2.2905443,0.23846675937773254
N=c1ccc2c(cc1)=CC=CC=CC=2,2.7646,2.3694482,0.1429327262652677
O=C[C]=C=CC=[SH]C1OCC1=O,2.9084,2.4488204,0.15801803309231144
N=C1C=CC=CC=CC=CNSCSC1,2.2841,2.2831516,0.0004152066078919297
SC=CC1=c2[nH]sc2=CC=CC=CC=CC=CSC=C1,1.776,2.1174276,0.19224526323713698
C1=CC=NC=C2C=CC=C2C=CC=NCN[N]C=C1,1.9995,2.4556696,0.22814185621142832
C=C1C=C2SC=CC=CC2=CC=CN=CS1,2.8674,2.3311021,0.18703280574832906
NC1=NN2C=CC=CC2=CSC=CNCC1=O,3.2776,2.4800718,0.2433268906926422
N=C=[SH]C1=c2ccccccoc2=C=C1,2.8447,2.1524634,0.24334255417910183
CSNC1=CC=CC2=CC=CN=NSS[SH]21,2.5944,1.8802221,0.27527671826315847
O=CC[C]Nc1ccc2cccccc1-2,2.6505,2.496972,0.057924133542573066
CC1=CN=CC=CC=C(N)C1(N)C#[SH],2.3066,2.4506965,0.06247137273617944
NCCc1cccc2c([nH][nH]c1=O)=CC=CC=CC=2,1.9026,2.3813925,0.2516516760973778
COCN=c1cncccc2ncn1-2,2.1066,2.4543104,0.16505763655904926
NN1C=CC=CN=C2N=CC=NN2C=C1,3.2377,2.3228714,0.28255507100426314
NC1=CC=CC=CC=NN=C2C=C1C=N2,2.2105,2.3776267,0.07560581655098926
COC1=C2C=CC=C=C=CC=CN=C2C=C1,2.6442,2.427999,0.08176423129006784
O=C1C=CN2C=CC=CC2=CN=CC=CS1,2.4169,2.3515332,0.027045730268207016
[CH]1C2=CC=CC=NC=CN=CC=C12,2.4029,2.0392482,0.15133870403549032
O=C1C=CC=CC2=CN=CC2=CC2=CC=CC=CC2=CC=C1,2.5026,2.087901,0.16570721832594887
N=C1C=CC=C2C=CC=CC=S2S1,2.0091,2.3568928,0.1731087671957461
S=C1C=CC=CN=CN=NN=CC=C1CS,2.4548,2.4449055,0.004030666659005402
CCNCC1=CSC=Cc2c[nH]cccccc21,3.4962,2.4499366,0.29925729982790605
Cn1cnccc2ccssc=2c1=S,2.8538,2.0526063,0.28074625263752806
NC1C=CC=CC=NC2=NC=C2C=C=NN1,1.842,2.3650734,0.28397038135673525
C1=CC=c2c3cccc2=CC=CC3=C1,2.8351,2.2710605,0.198948726053276
O=c1cccc([SH](=O)=S)cn1,3.157,2.3537538,0.2544333844914405
O=[SH]C1=CC=CC=CC=CC=NC=CC=CC=C1,2.095,1.9214342,0.08284765439272504
CSc1cc2c(s1)C=CC=CSC=CC=C2,2.7732,2.4972386,0.09951008365179374
C=CN1C(OC)=NC1=S=[SH]C,1.8268,2.301035,0.2595987121568667
NNC1=C[C]2C=CC=CC=C2N=N1,2.0956,2.448596,0.16844626869220586
O=C1CCC=CC=CC=CC=CC=CC=CN=CC=C2C=CC=C12,2.5902,2.3564532,0.09024276877727183
C1=CN=CC=c2cc[nH]cccccc3ccccc3nc2=C1,1.5501,1.6894721,0.0899116697484282
OCC=CC1=CN=CC2=CC2=CC=CN1,2.888,2.4826117,0.14036992514232516
O=CC1=C(C2=NC=C2)SC=CC=C1,2.7291,2.1774123,0.20215005990999454
CC1(C)C=C(C=S)C(S)=CS1,3.0998,2.2916603,0.26070704276472983
CC(C)C1=CNC=CC=C2C=CC=C2N2C=CCNN=C12,2.562,2.486954,0.02929196964475341
COc1=c-o-c2ccc-2-c=c-c=n-c2cc-1n2,2.8891,2.2299771,0.2281412443702563
