SMILES,des_gap,pred_gap,Err_pred_des
O=C1CCC(O)C=C2OC2CNCN1,4.122,4.877204,0.18321298916671883
O=C(C=CCCOO)C1CCC1=O,4.4576,4.13642,0.07205227631420351
CON1NSC=CCC=C1O,3.3909,3.960845,0.1680807436348193
CCC1C=CCC(CCCC=O)C2C(C)C(O)C12,4.715,4.749574,0.007332806875445334
OC[SH]=CC1C=C(C=CC=S)C1,2.6276,2.9540524,0.12423978089233707
CC1=C2CC=C=CNC=CC(=C=C1)C2,3.9638,3.8314517,0.03338925918709216
CC1=CNCCCOC(CO)CN=S([N]O)O1,3.9638,3.8823528,0.02054774989164635
CC(O)SCSS[O],4.4533,4.7377815,0.06388106003597412
CC(S)CC1(C)C=CC2SCC21,4.8066,4.970793,0.034159857359826434
COC1=C(O)C23C=C2C=CCCC(O)C13O,4.2624,3.744156,0.12158504978672528
O=C1C=CC2=CCN2C2CCC1S2,3.2501,3.7033427,0.1394549940502506
OCCCCCCC=NNNCC=C=NOO,4.486,4.7599907,0.06107683730242357
CN(C)CC1=C(CCN=N)SC=CN=N1,3.3693,3.678713,0.0918330464094061
CCC(OCOC)C1=C(C)c2ccncc21,4.5269,4.9815283,0.10042816986580816
OC1CC1=CCC[SH]1C=C=[SH]1,3.1564,2.6351168,0.1651511799622936
CC1=CC2=CC=CC=Cc3coc(=O)cc3C2=C1,3.0936,2.733224,0.11649084720064076
CCC=C=CC=CSC,4.4524,4.2334876,0.049167279209283966
C=C1OC=CC=CC=CC(COC)=C1C,3.7507,3.8986917,0.03945707580060312
C#CC1C(C(N)CNO)=CC=CN=C1C(N)C=C,4.3875,4.096159,0.06640251137931806
C=CCC1=CCC(OC)C=CC1,4.3875,4.856336,0.10685723459618719
C1=CC2=CCC=C2C2=C(CC2)NC1,4.3875,3.7604604,0.1429150138485466
CCOCCC=CNCCC=CC1C=CC=CC=C1,4.519,4.0461316,0.10464005070361558
CCC1=CC=CC=CC=CC=C2C=CC=CN21,2.2,2.367871,0.07630502093922
C=CC1=CC=C(CC)C(C)=COC=CC=C1,2.8684,3.0492039,0.06303300539696842
CC1[C]NCCCCNN[C]CC=NN(C)CCCC1,3.6723,4.050812,0.1030721258007584
