,SMILES,pred_gap
0,CCC1CCCCCC(CCC(C)C)CCC1C,10.036385
1,CC1CCCCCCCCCCCCCCC1C,10.075998
2,CCCCCCC(C)CC(C)CCCC,10.132181
3,CCCCCCCCC(CCC)CC(C)C,10.239219
4,CC(C)CCCCCCCC(C)CCCC(C)C,10.164579
5,CCC1CCC(C)CCCCC1C,10.045126
6,CCCC(CC)CCC(C)(CC)CCl,10.01394
7,CCCCCC(CC)CCC(CCC)C(C)C,10.055052
8,CCCCCCCCCCCCC(C)CC1CC1CC,10.104053
9,CCCCCCC(C)CCCCCCC(C)CC,10.144753
10,CCCC(C)CCC(C)CC(C)C,10.16411
11,CCCCCCC(CC)CCCC,10.1421585
12,CCCCCCCCCCC(C)CC(C)CCC,10.356948
13,CC(C)CCCCCCCC1CCCC1,10.166847
14,CCCCCCCCC(C)CCCCCCCC,10.18561
15,CCCC1CCCCCC(C)CCC1,10.129543
16,CCC(C)CCCCCCCCCC(C)C,10.031409
17,CCCCCCCCCC1C(C)C(C)C(C)C1CC,10.062302
18,CCCC1CCC(C)CCCC1C,10.05055
19,CC(C)CCCCC1CCCCCCCC1,10.184499
20,CC(C)CC1CCCCCC(C)CC1,10.183234
21,CCCCC(CCC)CCCCCC(C)C,10.063347
22,CC1CCCCCCCCCCCCCCCC1C,10.037374
23,CCCCCC(C)CCC(CCC)CCC,10.156838
24,CCC(C)CCCCCCC(C)C,10.1172
25,CCCCCCCCCCCC(C)CCC,10.013923
26,CCCCCC(CC)CCCC(C)CC,10.069404
27,CC1CCCC(C(C)C)CC(C)C1,10.049865
28,CCCCCCCCCC1CCCCCCCC1,10.115858
29,CCCC(CC)CCCCCC(C)CC,10.046194
30,CCCCCCC(C)C(C)(CC)CCC,10.044616
31,CCCC(C)C(C)CCCCC(C)CC,10.060367
32,CCCCCC(C)CCCCCCCCC(C)CCCC,10.031921
33,CCCCCCCCCC(C)C(C)(C)C,10.016769
34,CCCCCCC(C)CCCCC(C)CCCCCC,10.244673
35,CCCC(C)CCC(CCC)CCCC1CC1C,10.142593
36,CC1CCCC(CC2CC2C)C1,10.066925
