,SMILES,pred_gap
0,CCCC(CC)CC(C)(CC)C(C)CC,10.054668
1,CCCC(C)CCCC(C)CCCCC(C)C,10.089953
2,CCCCCCC(C)CC1C(C)C1CC,10.034786
3,CCCCCCC(CCC)C(CC)C(C)C,10.053914
4,CCC(C)CCC(C)CC(CC)CCCl,10.046864
5,CCCCCC(CCCCC(C)CCC)C(CC)CCC,10.028249
6,CCCC1CCCCCCCCCCCCC(C)C1,10.036104
7,CCCCCCCCCC(CCCC)CC(C)CCC,10.314102
8,CCC(C)CC(C)CCCCl,10.11564
9,CCCCCCCCCCCCC(C)CCCCC(C)C,10.053165
10,CCCC(CCC1CCCC1CC(C)C)CC(C)C,10.070714
11,CCCCCCCCCCCCCCC(C)C(C)CCC,10.334439
12,CCCC(C)CCCCC(C)CCC(CC)CC,10.079968
13,CCCCC(CCC)(CCCC)CCCC,10.005996
14,CCCCCCC(CC)C(C)CCC(C)C(C)CC,10.204488
15,CCCCCCCC(C)CC(C)CCCCCC,10.02439
16,CC1CCCCCCCCCC1C1CC1C,10.1194315
17,CCCCCCC(CC)CCCCCCC(C)C,10.184889
18,CCCCCCC(CC)CCCC(C)CF,10.218822
19,CCCCCC(CCC)CC1CCCCC1C,10.005555
20,CCC(C)C1(C)CCCCCC1CC,10.042106
21,CCCCCC(C)CCCC(CC)CC,10.002873
22,CCCCCCCCCCCCC1CCCCC1C,10.0852
23,CCC(C)CCCCC(C)CCCCC(CC)CC,10.247436
24,CCCCCCCCCC(C)C(C)CCCCC,10.075336
25,CCCCCCCCCCC(C)C(C)CCCCC,10.154951
26,CCCCCCCC1C(C)CCCC1CC(C)C,10.008325
27,CCCCCCCCC1CCCCCCC(C)CC1,10.036091
28,CCCC(CC(C)C)C(CC)CC,10.03974
29,CCCC(CC)C(C)CCCC(CC)CC,10.01259
30,CCC1CC(C)CCC(CC)C(CC)C1,10.025857
31,CCCCCCC(C)CCC(C)C(C)C(C)CCC,10.191838
32,CCC1CCCCC(CCCCC(C)C)CC1,10.037184
33,CCCCCCCC1CC(CCCCCC)C(C)CC1C,10.06672
34,CC1CCCC(C)(C(C)C)C1C,10.027263
35,CCCC1C(C)CCC1CCC(C)C,10.020343
36,CCCC1C2CCCCCCCC1C(CC)CCCCC2,10.168837
37,CCCCCCCCC(C)C1CC(CC)CC1CCCC,10.0880785
