,SMILES,pred_gap
33,CCC1CCCCCC(CCC(C)C)CCC1C,10.036385
44,CC1CCCCCCCCCCCCCCC1C,10.075998
71,CCCCCCCCCC(C)CC(C)CCC,10.016925
74,CCCCCCC(C)CC(C)CCCC,10.132181
86,CCCCCCCCC(CCC)CC(C)C,10.239219
88,CC(C)CCCCCCCC(C)CCCC(C)C,10.164579
96,CCC1CCC(C)CCCCC1C,10.045126
115,CCCC(CC)CC(C)C(C)C,10.056887
128,CCCC(CC)CCC(C)(CC)CCl,10.01394
131,CCCCCC(CC)CCC(CCC)C(C)C,10.055052
152,CCCCCCCCCCCCC(C)CC1CC1CC,10.104053
169,CCCCCCC(C)CCCCCCC(C)CC,10.144753
177,CCCC(C)CCC(C)CC(C)C,10.16411
183,CCCCC(C)CCC(C)CCCC,10.211318
200,CCCCCC(C)CC(C)CCCC,10.134213
241,CC(C)CCC1CCCCCC1,10.021562
283,CCCCCCC(C)C(C)C,10.111386
320,CCC(CC)CCCC(C)CC(C)C,10.025543
326,CCCCCCC(CC)CCCC,10.1421585
360,CCCCCCCCCCC(C)CC(C)CCC,10.356948
363,CC(C)CCCCCCCC1CCCC1,10.166847
366,CCCCCCCCC(C)CCCCCCCC,10.18561
394,CCCC1CCCCCC(C)CCC1,10.129543
410,CCC(C)CCCCCCCCCC(C)C,10.031409
428,CCC(C)CCCCC(C)(C)C,10.037608
436,CCCCCCCCCC1C(C)C(C)C(C)C1CC,10.062302
453,CCCC1CCC(C)CCCC1C,10.05055
492,CCCCC(C)C(CC)CCC,10.073833
498,CC(C)CCCCC1CCCCCCCC1,10.184499
531,CC(C)CC1CCCCCC(C)CC1,10.183234
572,CCCCC(CCC)CCCCCC(C)C,10.063347
579,CCCCC(C)CC(C)CCC,10.090905
602,CCCCCCCC(C)CCCCCC,10.091847
617,CC1CCCCCCCCCCCCCCCC1C,10.037374
630,CCCCCC(C)CCC(CCC)CCC,10.156838
661,CCC(C)CCCCCCC(C)C,10.1172
662,CCCCCCCCCCCC(C)CCC,10.013923
695,CCCCCC(CC)CCCC(C)CC,10.069404
700,CCCC(C)CC(C)CC(C)C,10.197957
713,CCC(C)CCC(C)(C)CC,10.063577
736,CC1CCCC(C(C)C)CC(C)C1,10.049865
747,CCCCCCC(C)C(CC)CCC,10.208502
752,CCCCCC(C)C(C)CCCCC,10.178061
756,CCCCCCCCCC1CCCCCCCC1,10.115858
778,CCCC(CC)CCCCCC(C)CC,10.046194
788,CCCCCCC(C)C(C)(CC)CCC,10.044616
835,CCCCCCCC(C)C(C)C(C)C,10.104364
838,CCCC(C)C(C)CCCCC(C)CC,10.060367
841,CCCCCC(C)CCCCCCCCC(C)CCCC,10.031921
842,CCCCCCC(C)C(C)(C)C,10.036674
847,CCCC(C)CCCCC(C)C,10.030237
850,CCCCCCCCCC(C)C(C)(C)C,10.016769
871,CCCCCCC(C)CCCCC(C)CCCCCC,10.244673
936,CCCC(C)CCC(CCC)CCCC1CC1C,10.142593
940,CC1CCCC(CC2CC2C)C1,10.066925
941,CCCCCCC(C)CCCCC(C)CC,10.132148
960,CCCCCCCCC1CCCC(CCC)CCC1,10.022765
973,CC1CCC(C)C2CCCCCCCCCC12,10.119825
978,CCCC(CC)CCC(C)C,10.130195
1033,CC1CCCCCC(CC2CCCC(C)C2)CCC1,10.162631
1036,CCCC1CCCCCCCC1CCC,10.150634
1084,CCCC1CCCCCCCCC1CCC,10.07843
1106,CCCCCCC1CCCCCCC1CC,10.031913
1120,CCCCCCCCCCCCCCC,10.044787
1141,CCCCCCCC(CCCCCC)C(C)CCCCC,10.071069
1151,CCCCC(C)C(CCC)CCCC,10.336662
1216,CC1CCCCCC(F)CC(F)CC1,10.092287
1229,CCCCCCC(CCCCC)C(C)F,10.074989
1250,CCCCCCCC(CCC)CCCC,10.069361
1276,CCCCCCCCCC1CCCCCC1,10.211945
1278,CCCCC(C)C(C)(C)CCC,10.060884
1288,CC1CCCC(C)CCC(C)CCC1,10.037924
1308,CCC1CCC(C)CCC1C,10.114477
1311,CCCCCCCCCCC(CCC)CC(C)C,10.018159
1316,CCCCCCC1CCCCC1CC,10.020137
1327,CCCCCCCCCC(C)CCCCC,10.111731
1363,CCCCCCCCCC(C)(C)CC,10.020066
1365,CC(C)CCC(C)C(C)(C)C,10.150452
1379,CCC(C)CCCCCC(C)CCCCCC(C)C,10.166429
1403,CCC(C)CCC(C)C(C)CC,10.115298
1408,CCCCC(C)CC(C)CC(C)CCC,10.074881
1443,CCCCCCC(C)C(CC)C(C)C,10.026232
1445,CCCCCCCCCCC(C)CCCC,10.096885
1448,CCCCCCC(C)CC(C)CCC,10.118742
1494,CCCCC(C)CCCC(C)CCCC,10.053891
